level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,v_score,exit_reason,pnl
598_upper,2020-05-08,2020,upper,2020-05-07 20:00:00-04:00,2020-05-07 22:16:00-04:00,9157.354943061793,9200.479943061793,28.75,43.125,0.013509006004002668,SL,-43.125
608_upper,2020-05-15,2020,upper,2020-05-15 03:07:00-04:00,2020-05-15 03:53:00-04:00,9130.678190866347,9130.678190866347,25.75,38.625,0.01197096076614149,BE,-0.0
609_upper,2020-05-18,2020,upper,2020-05-17 19:04:00-04:00,2020-05-17 19:50:00-04:00,9169.976526088944,9169.976526088944,57.75,86.625,0.011615515771526001,BE,-0.0
613_lower,2020-05-22,2020,lower,2020-05-21 22:54:00-04:00,2020-05-22 03:15:00-04:00,9317.397405779739,9251.397405779739,44.0,66.0,0.012406367041198503,SL,-66.0
614_upper,2020-05-25,2020,upper,2020-05-25 06:50:00-04:00,2020-05-25 08:42:00-04:00,9515.473595904761,9515.473595904761,16.25,24.375,0.01369047619047619,BE,-0.0
621_lower,2020-06-15,2020,lower,2020-06-15 01:36:00-04:00,2020-06-15 02:01:00-04:00,9460.75459174655,9396.25459174655,43.0,64.5,0.0202485966319166,SL,-64.5
635_upper,2020-06-23,2020,upper,2020-06-23 03:16:00-04:00,2020-06-23 11:59:00-04:00,10174.123908644677,10259.248908644677,56.75,85.125,0.01115305422100206,SL,-85.125
698_upper,2020-09-28,2020,upper,2020-09-28 06:17:00-04:00,2020-09-28 07:23:00-04:00,11326.604011271396,11326.604011271396,29.25,43.875,0.012203080135734795,BE,-0.0
709_upper,2020-10-08,2020,upper,2020-10-08 02:42:00-04:00,2020-10-08 04:10:00-04:00,11565.107239575818,11545.607239575818,13.0,19.5,0.015013774104683195,TP,19.5
707_upper,2020-10-12,2020,upper,2020-10-11 19:46:00-04:00,2020-10-11 21:32:00-04:00,11749.39506993154,11749.39506993154,57.25,85.875,0.010338345864661654,BE,-0.0
716_lower,2020-10-15,2020,lower,2020-10-14 23:00:00-04:00,2020-10-15 00:08:00-04:00,11869.462070647038,11869.462070647038,46.25,69.375,0.011732456140350877,BE,0.0
708_lower,2020-10-30,2020,lower,2020-10-30 01:45:00-04:00,2020-10-30 02:10:00-04:00,11084.857133183817,11043.232133183817,27.75,41.625,0.010182689427972447,SL,-41.625
729_upper,2020-11-04,2020,upper,2020-11-03 20:52:00-05:00,2020-11-03 22:03:00-05:00,11392.75306250971,11564.50306250971,114.5,171.75,0.012353849547760865,SL,-171.75
723_upper,2020-11-05,2020,upper,2020-11-04 22:27:00-05:00,2020-11-04 22:40:00-05:00,11875.730155823774,11974.355155823774,65.75,98.625,0.017556517556517555,SL,-98.625
733_upper,2020-11-09,2020,upper,2020-11-08 19:40:00-05:00,2020-11-09 07:36:00-05:00,12264.887181720746,12064.887181720746,135.75,200.0,0.01135626216742375,TP,200.0
732_lower,2020-11-10,2020,lower,2020-11-09 19:24:00-05:00,2020-11-09 20:39:00-05:00,11791.119783901191,11867.994783901191,51.25,76.875,0.012174028738690792,TP,76.875
733_lower,2020-11-10,2020,lower,2020-11-09 22:38:00-05:00,2020-11-09 23:27:00-05:00,11736.362818279254,11736.362818279254,141.25,200.0,0.022399278412507516,BE,0.0
752_lower,2020-12-10,2020,lower,2020-12-10 01:44:00-05:00,2020-12-10 03:22:00-05:00,12306.297441328374,12339.672441328374,22.25,33.375,0.02377179080824089,TP,33.375
763_upper,2021-01-04,2021,upper,2021-01-04 04:16:00-05:00,2021-01-04 09:32:00-05:00,12953.999984457409,12908.249984457409,30.5,45.75,0.011641221374045801,TP,45.75
768_upper,2021-01-08,2021,upper,2021-01-07 20:31:00-05:00,2021-01-08 08:42:00-05:00,12972.891274962194,13010.016274962194,24.75,37.125,0.01991492652745553,SL,-37.125
782_upper,2021-01-20,2021,upper,2021-01-20 03:43:00-05:00,2021-01-20 04:14:00-05:00,13081.986247428205,13056.111247428205,17.25,25.875,0.010057471264367816,TP,25.875
783_upper,2021-01-21,2021,upper,2021-01-20 20:05:00-05:00,2021-01-20 21:51:00-05:00,13373.571867454353,13373.571867454353,45.25,67.875,0.011646341463414634,BE,-0.0
791_upper,2021-02-02,2021,upper,2021-02-01 20:23:00-05:00,2021-02-01 21:34:00-05:00,13321.262122402999,13368.137122402999,31.25,46.875,0.01627444987775061,SL,-46.875
797_upper,2021-02-15,2021,upper,2021-02-14 19:20:00-05:00,2021-02-15 12:59:00-05:00,13852.90228910213,13872.0,34.0,51.0,0.010061391541609822,cutoff,-19.097710897869547
805_lower,2021-02-22,2021,lower,2021-02-22 02:06:00-05:00,2021-02-22 02:19:00-05:00,13493.982062487335,13445.982062487335,32.0,48.0,0.012847404299947561,SL,-48.0
