exit,cap_pct_of_price,pnl_pct_of_price,cap_pts,pnl_pts,price_level,month,year
TP,0.027070538075917045,0.027070538075917045,200.0,200.0,7388.1058233536705,4,2020
SL,0.006328512818150719,-0.006328512818150719,48.75,-48.75,7703.231612359354,4,2020
SL,0.01334049660385228,-0.01334049660385228,108.75,-108.75,8151.870446006989,4,2020
cutoff,0.02404735822306684,0.017214528621037003,200.0,143.17188991283365,8316.921889912834,4,2020
SL,0.008414921842088937,-0.008414921842088937,70.5,-70.5,8377.974427210953,4,2020
TP,0.010076302754583178,0.010076302754583178,87.75,87.75,8708.551354323605,4,2020
TP,0.008649278666927203,0.008649278666927203,74.625,74.625,8627.887119112991,4,2020
SL,0.005680403261054389,-0.005680403261054389,48.75,-48.75,8582.137175759435,4,2020
TP,0.013924509328157345,0.013924509328157345,121.875,121.875,8752.552576739732,4,2020
BE,0.006927297134463015,-0.0,61.125,-0.0,8823.787808365498,4,2020
SL,0.003477326831563644,-0.003477326831563644,30.75,-30.75,8842.999663098304,4,2020
SL,0.0036664029620350064,-0.0036664029620350064,32.625,-32.625,8898.367238360446,4,2020
BE,0.00400622629733877,-0.0,35.625,-0.0,8892.408305458119,5,2020
BE,0.003918273627279369,-0.0,35.625,-0.0,9092.014338145143,5,2020
SL,0.004709329306130511,-0.004709329306130511,43.125,-43.125,9157.354943061793,5,2020
TP,0.007383680230208896,0.007383680230208896,68.25,68.25,9243.358037197813,5,2020
TP,0.007826022312844887,0.007826022312844887,70.5,70.5,9008.407743009884,5,2020
BE,0.004230244368774007,-0.0,38.625,-0.0,9130.678190866347,5,2020
BE,0.009446589067436374,-0.0,86.625,-0.0,9169.976526088944,5,2020
BE,0.009725416106463184,-0.0,90.75,-0.0,9331.220279581725,5,2020
SL,0.003222525275455426,-0.003222525275455426,30.375,-30.375,9425.837628444118,5,2020
SL,0.00708352312621753,-0.00708352312621753,66.0,-66.0,9317.397405779739,5,2020
BE,0.002561617112835081,-0.0,24.375,-0.0,9515.473595904761,5,2020
SL,0.0023897103151471364,-0.0023897103151471364,22.875,-22.875,9572.289936151348,5,2020
BE,0.021435495980778378,0.0,197.25,0.0,9202.026404095239,5,2020
TP,0.02148013011349466,0.02148013011349466,197.25,197.25,9182.905269092378,5,2020
BE,0.004215148366229883,-0.0,40.5,-0.0,9608.202720566167,6,2020
BE,0.002337869406178408,-0.0,22.5,-0.0,9624.147499658488,6,2020
TP,0.005216184862478757,0.005216184862478757,50.25,50.25,9633.477594220261,6,2020
BE,0.005810169546811578,-0.0,56.25,-0.0,9681.300958053465,6,2020
BE,0.007536722354420192,-0.0,73.125,-0.0,9702.493545767029,6,2020
TP,0.006283169475963022,0.006283169475963022,61.125,61.125,9728.37040825345,6,2020
cutoff,0.009654450987394314,-0.0038617682934378866,96.0,-38.39987966732588,9943.600120332674,6,2020
TP,0.002548659025814216,0.002548659025814216,25.5,25.5,10005.261489168231,6,2020
BE,0.006889628619492078,0.0,68.25,0.0,9906.19433490329,6,2020
SL,0.00681763799858724,-0.00681763799858724,64.5,-64.5,9460.75459174655,6,2020
TP,0.00551333794908194,0.00551333794908194,55.125,55.125,9998.480141994416,6,2020
BE,0.0031944628642399018,-0.0,32.25,-0.0,10095.593960731061,6,2020
TP,0.0032634108481918744,0.0032634108481918744,33.0,33.0,10112.119354596121,6,2020
SL,0.008374949687538066,-0.008374949687538066,85.125,-85.125,10164.240165724947,6,2020
TP,0.006647739892832225,0.006647739892832225,64.875,64.875,9758.955832485262,6,2020
TP,0.0008229579985708671,0.0008229579985708671,8.25,8.25,10024.81294832396,6,2020
cutoff,0.010083989902739605,-0.007221298022545596,102.75,-73.58083248526236,10189.419167514738,7,2020
BE,0.00424754648107032,-0.0,43.875,-0.0,10329.492613096521,7,2020
SL,0.003987706224412636,-0.003987706224412636,41.25,-41.25,10344.29260296773,7,2020
BE,0.004012288746130817,-0.0,42.0,-0.0,10467.840840343804,7,2020
SL,0.007620564371009036,-0.007620564371009036,80.25,-80.25,10530.716111433376,7,2020
TP,0.004297731896479278,0.004297731896479278,45.75,45.75,10645.149837633802,7,2020
SL,0.0029516453366274166,-0.0029516453366274166,32.25,-32.25,10926.109448111816,7,2020
BE,0.011722603001714765,0.0,123.75,0.0,10556.529124282211,7,2020
BE,0.019055984530658442,0.0,200.0,0.0,10495.390551888184,7,2020
TP,0.019199934794272008,0.019199934794272008,200.0,200.0,10416.702043158333,7,2020
TP,0.019226224555576557,0.019226224555576557,200.0,200.0,10402.458341307061,7,2020
BE,0.00973764916259068,0.0,102.375,0.0,10513.317772147313,7,2020
cutoff,0.012434787077476837,-0.011362682301449344,133.875,-122.33254044710156,10766.167459552898,7,2020
SL,0.004886172307670867,-0.004886172307670867,51.0,-51.0,10437.617993932472,7,2020
SL,0.0026874051509798665,-0.0026874051509798665,29.625,-29.625,11023.64486768893,8,2020
SL,0.002296019611375013,-0.002296019611375013,25.5,-25.5,11106.176913153135,8,2020
BE,0.008337880413275154,-0.0,93.375,-0.0,11198.889330594502,8,2020
BE,0.008317466603126352,-0.0,93.375,-0.0,11226.37510379692,8,2020
BE,0.0015254349850051916,-0.0,17.25,-0.0,11308.249889090679,8,2020
TP,0.005515954973468941,0.005515954973468941,62.625,62.625,11353.428427392624,8,2020
TP,0.005505108133259755,0.005505108133259755,62.625,62.625,11375.79834656539,8,2020
TP,0.005507927049648026,0.005507927049648026,62.625,62.625,11369.976296981264,8,2020
SL,0.0016952011579085418,-0.0016952011579085418,19.5,-19.5,11503.059627482893,8,2020
SL,0.0048575201095722945,-0.0048575201095722945,56.625,-56.625,11657.182826359074,8,2020
TP,0.0022613610226611207,0.0022613610226611207,26.625,26.625,11773.882955083516,8,2020
SL,0.0023099613726611915,-0.0023099613726611915,28.125,-28.125,12175.52827197218,9,2020
TP,0.003551845559398589,0.003551845559398589,44.25,44.25,12458.311956416417,9,2020
SL,0.016546293169477897,-0.016546293169477897,200.0,-200.0,12087.299430239142,9,2020
TP,0.015390904109351457,0.015390904109351457,178.875,178.875,11622.124257880094,9,2020
SL,0.017455537243619527,-0.017455537243619527,200.0,-200.0,11457.682293514365,9,2020
BE,0.016894243736866515,0.0,190.125,0.0,11253.833137562138,9,2020
TP,0.013674265909479483,0.013674265909479483,152.25,152.25,11134.052899648159,9,2020
TP,0.0035196546599992116,0.0035196546599992116,40.5,40.5,11506.810727848246,9,2020
TP,0.003520131856042576,0.003520131856042576,40.5,40.5,11505.250841805442,9,2020
TP,0.011119004546098885,0.011119004546098885,122.25,122.25,10994.689272151754,9,2020
TP,0.010225674778549297,0.010225674778549297,111.75,111.75,10928.374158194558,9,2020
BE,0.017233864542230682,0.0,184.875,0.0,10727.425618727215,9,2020
SL,0.004600276269582052,-0.004600276269582052,51.75,-51.75,11249.324381272785,9,2020
TP,0.012522469453993455,0.012522469453993455,139.875,139.875,11169.921437132627,9,2020
cutoff,0.007381417704658574,-0.004588187523004332,85.125,-52.9125269051292,11532.33747309487,10,2020
BE,0.015387018348917824,0.0,174.375,0.0,11332.60493006846,10,2020
TP,0.0016861062847105268,0.0016861062847105268,19.5,19.5,11565.107239575818,10,2020
TP,0.0021666482076921232,0.0021666482076921232,25.125,25.125,11596.252640737981,10,2020
SL,0.004648603109340284,-0.004648603109340284,54.0,-54.0,11616.392866816183,10,2020
BE,0.007308886924720659,-0.0,85.875,-0.0,11749.39506993154,10,2020
BE,0.0034742560084974955,-0.0,40.875,-0.0,11765.108817550014,10,2020
SL,0.002066659391610746,-0.002066659391610746,24.375,-24.375,11794.396357206313,10,2020
SL,0.009622441786058696,-0.009622441786058696,114.375,-114.375,11886.27611815851,10,2020
BE,0.007688771865579983,0.0,88.875,0.0,11559.063209803786,10,2020
SL,0.009028859662519052,-0.009028859662519052,102.375,-102.375,11338.641182449986,10,2020
SL,0.003755122822051598,-0.003755122822051598,41.625,-41.625,11084.857133183817,10,2020
