config_id,sigma_multiplier,ib_minutes,offset_family,offset_parameter,offset_value,line_life_sessions,status
VIX_ES_SIGMA_100_IB60_PCT_000,1.0,60,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_100_IB60_PCT_002,1.0,60,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_100_IB60_PCT_004,1.0,60,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_100_IB60_PCT_006,1.0,60,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_100_IB60_PCT_008,1.0,60,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_100_IB60_PCT_010,1.0,60,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_100_IB60_FIXED_025,1.0,60,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_100_IB60_FIXED_050,1.0,60,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_100_IB60_FIXED_075,1.0,60,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_100_IB60_FIXED_100,1.0,60,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_100_IB60_FIXED_150,1.0,60,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_125_IB30_PCT_000,1.25,30,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_125_IB30_PCT_002,1.25,30,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_125_IB30_PCT_004,1.25,30,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_125_IB30_PCT_006,1.25,30,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_125_IB30_PCT_008,1.25,30,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_125_IB30_PCT_010,1.25,30,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_125_IB30_FIXED_025,1.25,30,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_125_IB30_FIXED_050,1.25,30,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_125_IB30_FIXED_075,1.25,30,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_125_IB30_FIXED_100,1.25,30,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_125_IB30_FIXED_150,1.25,30,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_125_IB60_PCT_000,1.25,60,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_125_IB60_PCT_002,1.25,60,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_125_IB60_PCT_004,1.25,60,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_125_IB60_PCT_006,1.25,60,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_125_IB60_PCT_008,1.25,60,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_125_IB60_PCT_010,1.25,60,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_125_IB60_FIXED_025,1.25,60,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_125_IB60_FIXED_050,1.25,60,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_125_IB60_FIXED_075,1.25,60,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_125_IB60_FIXED_100,1.25,60,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_125_IB60_FIXED_150,1.25,60,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_150_IB30_PCT_000,1.5,30,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_150_IB30_PCT_002,1.5,30,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_150_IB30_PCT_004,1.5,30,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_150_IB30_PCT_006,1.5,30,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_150_IB30_PCT_008,1.5,30,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_150_IB30_PCT_010,1.5,30,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_150_IB30_FIXED_025,1.5,30,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_150_IB30_FIXED_050,1.5,30,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_150_IB30_FIXED_075,1.5,30,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_150_IB30_FIXED_100,1.5,30,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_150_IB30_FIXED_150,1.5,30,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_150_IB60_PCT_000,1.5,60,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_150_IB60_PCT_002,1.5,60,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_150_IB60_PCT_004,1.5,60,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_150_IB60_PCT_006,1.5,60,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_150_IB60_PCT_008,1.5,60,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_150_IB60_PCT_010,1.5,60,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_150_IB60_FIXED_025,1.5,60,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_150_IB60_FIXED_050,1.5,60,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_150_IB60_FIXED_075,1.5,60,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_150_IB60_FIXED_100,1.5,60,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_150_IB60_FIXED_150,1.5,60,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_175_IB30_PCT_000,1.75,30,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_175_IB30_PCT_002,1.75,30,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_175_IB30_PCT_004,1.75,30,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_175_IB30_PCT_006,1.75,30,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_175_IB30_PCT_008,1.75,30,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_175_IB30_PCT_010,1.75,30,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_175_IB30_FIXED_025,1.75,30,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_175_IB30_FIXED_050,1.75,30,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_175_IB30_FIXED_075,1.75,30,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_175_IB30_FIXED_100,1.75,30,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_175_IB30_FIXED_150,1.75,30,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_175_IB60_PCT_000,1.75,60,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_175_IB60_PCT_002,1.75,60,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_175_IB60_PCT_004,1.75,60,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_175_IB60_PCT_006,1.75,60,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_175_IB60_PCT_008,1.75,60,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_175_IB60_PCT_010,1.75,60,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_175_IB60_FIXED_025,1.75,60,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_175_IB60_FIXED_050,1.75,60,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_175_IB60_FIXED_075,1.75,60,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_175_IB60_FIXED_100,1.75,60,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_175_IB60_FIXED_150,1.75,60,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_200_IB30_PCT_000,2.0,30,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_200_IB30_PCT_002,2.0,30,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_200_IB30_PCT_004,2.0,30,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_200_IB30_PCT_006,2.0,30,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_200_IB30_PCT_008,2.0,30,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_200_IB30_PCT_010,2.0,30,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_200_IB30_FIXED_025,2.0,30,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_200_IB30_FIXED_050,2.0,30,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_200_IB30_FIXED_075,2.0,30,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_200_IB30_FIXED_100,2.0,30,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_200_IB30_FIXED_150,2.0,30,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_200_IB60_PCT_000,2.0,60,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_200_IB60_PCT_002,2.0,60,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_200_IB60_PCT_004,2.0,60,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_200_IB60_PCT_006,2.0,60,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_200_IB60_PCT_008,2.0,60,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_200_IB60_PCT_010,2.0,60,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_200_IB60_FIXED_025,2.0,60,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_200_IB60_FIXED_050,2.0,60,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_200_IB60_FIXED_075,2.0,60,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_200_IB60_FIXED_100,2.0,60,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_200_IB60_FIXED_150,2.0,60,fixed,fixed_offset_es_points,15.0,20,registered
