level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,vxn_prev_close,exit_reason,pnl,gap_through
989_lower,2021-11-09,2021,lower,2021-11-09 09:58:00-05:00,2021-11-09 11:12:00-05:00,16240.353578456474,16240.353578456474,16240.353578456474,49.25,73.875,22.690000534057617,BE,0.0,False
991_lower,2021-11-10,2021,lower,2021-11-10 09:32:00-05:00,2021-11-10 13:06:00-05:00,16056.304931374681,16056.304931374681,16056.304931374681,81.0,121.5,23.270000457763672,BE,0.0,False
993_upper,2021-11-15,2021,upper,2021-11-15 08:20:00-05:00,2021-11-15 09:28:00-05:00,16273.028589163645,16239.841089163645,16273.028589163645,14.75,22.125,21.709999084472656,TP,33.1875,False
995_upper,2021-11-18,2021,upper,2021-11-18 09:47:00-05:00,2021-11-18 10:10:00-05:00,16417.715750437408,16372.153250437408,16417.715750437408,20.25,30.375,21.38999938964844,TP,45.5625,False
990_upper,2021-11-19,2021,upper,2021-11-18 20:47:00-05:00,2021-11-18 21:31:00-05:00,16533.348439223577,16550.973439223577,16533.348439223577,11.75,17.625,21.75,SL,-17.625,False
989_upper,2021-11-19,2021,upper,2021-11-18 22:14:00-05:00,2021-11-18 23:10:00-05:00,16581.271421543526,16581.271421543526,16581.271421543526,43.0,64.5,21.75,BE,-0.0,False
998_upper,2021-11-19,2021,upper,2021-11-19 09:56:00-05:00,2021-11-19 10:42:00-05:00,16591.693634465002,16591.693634465002,16591.693634465002,25.75,38.625,21.75,BE,-0.0,False
999_lower,2021-11-23,2021,lower,2021-11-22 21:23:00-05:00,2021-11-23 02:09:00-05:00,16358.632254367074,16294.882254367074,16358.632254367074,42.5,63.75,24.43000030517578,SL,-63.75,False
1009_upper,2021-12-08,2021,upper,2021-12-08 06:46:00-05:00,2021-12-08 07:11:00-05:00,16420.0253666291,16348.0253666291,16420.0253666291,32.0,48.0,24.81999969482422,TP,72.0,False
1020_upper,2021-12-21,2021,upper,2021-12-21 01:50:00-05:00,2021-12-21 03:00:00-05:00,15823.338074885565,15776.088074885565,15823.338074885565,21.0,31.5,24.959999084472656,TP,47.25,False
1019_upper,2021-12-22,2021,upper,2021-12-22 09:45:00-05:00,2021-12-22 10:31:00-05:00,16014.14752821853,16014.14752821853,16014.14752821853,51.75,77.625,22.14999961853028,BE,-0.0,False
1022_upper,2021-12-23,2021,upper,2021-12-23 05:52:00-05:00,2021-12-23 06:41:00-05:00,16200.362242887906,16200.362242887906,16200.362242887906,16.0,24.0,21.31999969482422,BE,-0.0,False
1023_upper,2021-12-27,2021,upper,2021-12-27 09:32:00-05:00,2021-12-27 09:37:00-05:00,16403.39085923301,16439.76585923301,16403.39085923301,24.25,36.375,21.71999931335449,SL,-36.375,False
1013_upper,2021-12-28,2021,upper,2021-12-28 03:28:00-05:00,2021-12-28 04:11:00-05:00,16592.642008049654,16625.642008049654,16592.642008049654,22.0,33.0,21.540000915527344,SL,-33.0,False
1024_upper,2021-12-28,2021,upper,2021-12-28 04:38:00-05:00,2021-12-28 10:19:00-05:00,16636.21188160003,16497.83688160003,16636.21188160003,61.5,92.25,21.540000915527344,TP,138.375,False
1025_lower,2021-12-31,2021,lower,2021-12-30 19:28:00-05:00,2021-12-30 20:17:00-05:00,16361.783170368326,16396.658170368326,16361.783170368326,15.5,23.25,21.200000762939453,TP,34.875,False
1034_upper,2022-01-11,2022,upper,2022-01-11 04:16:00-05:00,2022-01-11 09:31:00-05:00,15645.538295963997,15508.288295963997,15645.538295963997,61.0,91.5,24.280000686645508,TP,137.25,False
1266_lower,2022-12-02,2022,lower,2022-12-02 08:31:00-05:00,2022-12-02 09:30:00-05:00,11789.394449088326,11864.206949088326,11789.394449088326,33.25,49.875,24.780000686645508,TP,74.8125,False
1293_upper,2023-01-12,2023,upper,2023-01-12 08:18:00-05:00,2023-01-12 08:29:00-05:00,11509.481806465741,11431.856806465741,11509.481806465741,34.5,51.75,24.76000022888184,TP,77.625,False
1295_upper,2023-01-16,2023,upper,2023-01-15 20:58:00-05:00,2023-01-16 03:08:00-05:00,11631.48996521479,11574.67746521479,11631.48996521479,25.25,37.875,23.81999969482422,TP,56.8125,False
1297_upper,2023-01-23,2023,upper,2023-01-23 09:51:00-05:00,2023-01-23 10:31:00-05:00,11802.650900245913,11860.775900245913,11802.650900245913,38.75,58.125,24.61000061035156,SL,-58.125,False
1302_lower,2023-01-25,2023,lower,2023-01-25 09:30:00-05:00,2023-01-25 13:48:00-05:00,11693.33517488565,11830.58517488565,11693.33517488565,61.0,91.5,24.540000915527344,TP,137.25,False
1323_upper,2023-03-06,2023,upper,2023-03-05 21:37:00-05:00,2023-03-06 09:33:00-05:00,12335.463802876478,12385.713802876478,12335.463802876478,33.5,50.25,24.25,SL,-50.25,False
1346_lower,2023-03-28,2023,lower,2023-03-28 09:33:00-04:00,2023-03-28 10:00:00-04:00,12736.870630244797,12678.745630244797,12736.870630244797,38.75,58.125,24.5,SL,-58.125,False
1345_upper,2023-03-30,2023,upper,2023-03-30 05:27:00-04:00,2023-03-30 06:57:00-04:00,13008.379541218379,13033.129541218379,13008.379541218379,16.5,24.75,23.989999771118164,SL,-24.75,False
1348_upper,2023-03-30,2023,upper,2023-03-30 08:11:00-04:00,2023-03-30 08:44:00-04:00,13044.435005252406,13068.810005252406,13044.435005252406,16.25,24.375,23.989999771118164,SL,-24.375,False
1353_lower,2023-04-06,2023,lower,2023-04-06 09:34:00-04:00,2023-04-06 11:38:00-04:00,12969.69249010037,13095.69249010037,12969.69249010037,56.0,84.0,23.86000061035156,TP,126.0,False
1355_upper,2023-04-11,2023,upper,2023-04-11 05:02:00-04:00,2023-04-11 07:29:00-04:00,13195.157886365982,13134.407886365982,13195.157886365982,27.0,40.5,24.709999084472656,TP,60.75,False
1361_lower,2023-04-20,2023,lower,2023-04-20 04:37:00-04:00,2023-04-20 15:00:00-04:00,13049.068378614229,13092.5,13049.068378614229,72.75,109.125,21.770000457763672,cutoff,43.431621385770995,False
1360_lower,2023-04-21,2023,lower,2023-04-21 06:50:00-04:00,2023-04-21 08:01:00-04:00,13017.100469293404,13017.100469293404,13017.100469293404,26.0,39.0,21.290000915527344,BE,0.0,False
