level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,vxn_prev_close,exit_reason,pnl,gap_through
583_upper,2020-04-09,2020,upper,2020-04-09 09:43:00-04:00,2020-04-09 15:00:00-04:00,8316.921889912834,8173.75,8316.921889912834,171.75,200.0,41.36000061035156,cutoff,143.17188991283365,False
585_upper,2020-04-14,2020,upper,2020-04-13 21:33:00-04:00,2020-04-13 22:34:00-04:00,8377.974427210953,8448.474427210953,8377.974427210953,47.0,70.5,38.33000183105469,SL,-70.5,False
582_upper,2020-04-14,2020,upper,2020-04-14 09:34:00-04:00,2020-04-14 09:50:00-04:00,8503.366634118818,8564.116634118818,8503.366634118818,40.5,60.75,38.33000183105469,SL,-60.75,False
589_lower,2020-04-21,2020,lower,2020-04-20 22:38:00-04:00,2020-04-21 03:04:00-04:00,8627.887119112991,8702.512119112991,8627.887119112991,49.75,74.625,45.369998931884766,TP,74.625,False
590_lower,2020-04-21,2020,lower,2020-04-21 09:37:00-04:00,2020-04-21 09:45:00-04:00,8582.137175759435,8533.387175759435,8582.137175759435,32.5,48.75,45.369998931884766,SL,-48.75,False
594_upper,2020-04-27,2020,upper,2020-04-26 22:06:00-04:00,2020-04-26 23:01:00-04:00,8823.787808365498,8823.787808365498,8823.787808365498,40.75,61.125,35.2599983215332,BE,-0.0,False
591_upper,2020-04-27,2020,upper,2020-04-27 00:00:00-04:00,2020-04-27 00:32:00-04:00,8842.999663098304,8873.749663098304,8842.999663098304,20.5,30.75,35.2599983215332,SL,-30.75,False
593_upper,2020-04-28,2020,upper,2020-04-28 05:20:00-04:00,2020-04-28 05:50:00-04:00,8898.367238360446,8930.992238360446,8898.367238360446,21.75,32.625,36.61000061035156,SL,-32.625,False
600_upper,2020-05-05,2020,upper,2020-05-05 03:30:00-04:00,2020-05-05 04:17:00-04:00,8892.408305458119,8892.408305458119,8892.408305458119,23.75,35.625,35.369998931884766,BE,-0.0,False
601_upper,2020-05-07,2020,upper,2020-05-07 05:36:00-04:00,2020-05-07 06:22:00-04:00,9092.014338145143,9092.014338145143,9092.014338145143,23.75,35.625,33.58000183105469,BE,-0.0,False
598_upper,2020-05-08,2020,upper,2020-05-07 20:00:00-04:00,2020-05-07 22:16:00-04:00,9157.354943061793,9200.479943061793,9157.354943061793,28.75,43.125,30.63999938964844,SL,-43.125,False
605_lower,2020-05-13,2020,lower,2020-05-12 19:45:00-04:00,2020-05-12 22:44:00-04:00,9008.407743009884,9078.907743009884,9008.407743009884,47.0,70.5,36.119998931884766,TP,70.5,False
608_upper,2020-05-15,2020,upper,2020-05-15 03:07:00-04:00,2020-05-15 03:53:00-04:00,9130.678190866347,9130.678190866347,9130.678190866347,25.75,38.625,33.4900016784668,BE,-0.0,False
609_upper,2020-05-18,2020,upper,2020-05-17 19:04:00-04:00,2020-05-17 19:50:00-04:00,9169.976526088944,9169.976526088944,9169.976526088944,57.75,86.625,30.21999931335449,BE,-0.0,False
627_lower,2020-06-11,2020,lower,2020-06-11 08:22:00-04:00,2020-06-11 09:38:00-04:00,9906.19433490329,9906.19433490329,9906.19433490329,45.5,68.25,36.810001373291016,BE,0.0,False
621_lower,2020-06-15,2020,lower,2020-06-15 01:36:00-04:00,2020-06-15 02:01:00-04:00,9460.75459174655,9396.25459174655,9460.75459174655,43.0,64.5,33.66999816894531,SL,-64.5,False
620_lower,2020-06-15,2020,lower,2020-06-15 02:05:00-04:00,2020-06-15 09:57:00-04:00,9384.324041946535,9571.074041946535,9384.324041946535,124.5,186.75,33.66999816894531,TP,186.75,False
629_upper,2020-06-16,2020,upper,2020-06-16 08:57:00-04:00,2020-06-16 09:35:00-04:00,9998.480141994416,9943.355141994416,9998.480141994416,36.75,55.125,32.689998626708984,TP,55.125,False
628_upper,2020-06-19,2020,upper,2020-06-19 08:36:00-04:00,2020-06-19 09:24:00-04:00,10095.593960731061,10095.593960731061,10095.593960731061,21.5,32.25,32.540000915527344,BE,-0.0,False
633_upper,2020-06-19,2020,upper,2020-06-19 09:28:00-04:00,2020-06-19 09:31:00-04:00,10112.119354596121,10079.119354596121,10112.119354596121,22.0,33.0,32.540000915527344,TP,33.0,False
632_upper,2020-06-23,2020,upper,2020-06-23 03:15:00-04:00,2020-06-23 11:23:00-04:00,10164.240165724947,10249.365165724947,10164.240165724947,56.75,85.125,31.229999542236328,SL,-85.125,False
638_lower,2020-06-29,2020,lower,2020-06-29 09:41:00-04:00,2020-06-29 10:02:00-04:00,9758.955832485262,9823.830832485262,9758.955832485262,43.25,64.875,32.29999923706055,TP,64.875,False
640_upper,2020-06-30,2020,upper,2020-06-30 01:21:00-04:00,2020-06-30 01:27:00-04:00,10024.81294832396,10016.56294832396,10024.81294832396,5.5,8.25,30.75,TP,8.25,False
