config,pool_id,source,year,side,effective_exit_reason,pnl_class,n_trades,base_weight,gross_profit_pts,gross_loss_pts,net_pts,points_pf,avg_stop_pts,avg_target_pts,avg_abs_pnl_pts,scenario_id,scenario_family,target_points_pf,scenario_weight,achieved_points_pf
operational_100r,1rr,external_2013_2015,2013,upper,BE,scratch_or_flat,16,0.011808118081180811,0.0,-0.0,0.0,inf,7.96875,7.96875,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.011902980008429272,1.35
operational_100r,1rr,external_2013_2015,2013,upper,SL,loss,12,0.008856088560885609,0.0,100.5,-100.5,0.0,8.375,8.375,8.375,operational_100r__pf_1.35__stable,stable,1.35,0.009048884102431525,1.35
operational_100r,1rr,external_2013_2015,2013,upper,TP,profit,26,0.01918819188191882,172.125,-0.0,172.125,inf,6.6201923076923075,6.6201923076923075,6.6201923076923075,operational_100r__pf_1.35__stable,stable,1.35,0.01889912937767724,1.35
operational_100r,1rr,external_2013_2015,2013,upper,cutoff,loss,1,0.0007380073800738007,0.0,0.9165276271605762,-0.9165276271605762,0.0,14.625,14.625,0.9165276271605762,operational_100r__pf_1.35__stable,stable,1.35,0.0007440280820099293,1.35
operational_100r,1rr,external_2013_2015,2014,lower,BE,scratch_or_flat,4,0.002952029520295203,0.0,-0.0,0.0,inf,27.0,27.0,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.002975745002107318,1.35
operational_100r,1rr,external_2013_2015,2014,lower,FLAT,scratch_or_flat,26,0.01918819188191882,0.0,-0.0,0.0,inf,16.298076923076923,16.298076923076923,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.019342342513697566,1.35
operational_100r,1rr,external_2013_2015,2014,lower,SL,loss,1,0.0007380073800738007,0.0,9.75,-9.75,0.0,9.75,9.75,9.75,operational_100r__pf_1.35__stable,stable,1.35,0.0007449137330722485,1.35
operational_100r,1rr,external_2013_2015,2014,lower,TP,profit,3,0.002214022140221402,23.25,-0.0,23.25,inf,7.75,7.75,7.75,operational_100r__pf_1.35__stable,stable,1.35,0.002224831510981234,1.35
operational_100r,1rr,external_2013_2015,2014,lower,cutoff,loss,1,0.0007380073800738007,0.0,6.4469238051697175,-6.4469238051697175,0.0,23.625,23.625,6.4469238051697175,operational_100r__pf_1.35__stable,stable,1.35,0.0007445824406562095,1.35
operational_100r,1rr,external_2013_2015,2014,upper,BE,scratch_or_flat,1,0.0007380073800738007,0.0,-0.0,0.0,inf,3.75,3.75,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.0007439362505268295,1.35
operational_100r,1rr,external_2013_2015,2014,upper,FLAT,scratch_or_flat,63,0.04649446494464945,0.0,-0.0,0.0,inf,7.851190476190476,7.851190476190476,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.04686798378319026,1.35
operational_100r,1rr,external_2013_2015,2014,upper,SL,loss,6,0.004428044280442804,0.0,47.25,-47.25,0.0,7.875,7.875,7.875,operational_100r__pf_1.35__stable,stable,1.35,0.004492111594545111,1.35
operational_100r,1rr,external_2013_2015,2014,upper,TP,profit,3,0.002214022140221402,24.0,-0.0,24.0,inf,8.0,8.0,8.0,operational_100r__pf_1.35__stable,stable,1.35,0.002224606802238182,1.35
operational_100r,1rr,external_2013_2015,2014,upper,cutoff,loss,1,0.0007380073800738007,0.0,16.23595494151141,-16.23595494151141,0.0,25.875,25.875,16.23595494151141,operational_100r__pf_1.35__stable,stable,1.35,0.0007455646912851085,1.35
operational_100r,1rr,external_2013_2015,2015,lower,FLAT,scratch_or_flat,54,0.03985239852398524,0.0,-0.0,0.0,inf,18.15972222222222,18.15972222222222,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.040172557528448796,1.35
operational_100r,1rr,external_2013_2015,2015,upper,FLAT,scratch_or_flat,66,0.04870848708487085,0.0,-0.0,0.0,inf,15.318181818181818,15.318181818181818,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.049099792534770745,1.35
operational_100r,1rr,validation,2019,lower,BE,scratch_or_flat,2,0.0014760147601476014,0.0,-0.0,0.0,inf,28.5,28.5,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.001487872501053659,1.35
operational_100r,1rr,validation,2019,lower,FLAT,scratch_or_flat,23,0.016974169741697416,0.0,-0.0,0.0,inf,35.02173913043478,35.02173913043478,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.01711053376211708,1.35
