pool_id,config,config_label,target_r,level_id,session_date,year,source,side,entry_time,exit_time,entry_price,exit_price,level,anchor,raw_stop_pts,effective_stop_pts,target_pts,pnl_pts_baseline,pnl_pts_effective,mae_pts,mfe_pts,mae_mfe_status,exit_reason,effective_exit_reason,gap_through,is_flat,rolling_pf_window_trades,rolling_pf_threshold,rolling_pf_reentry,r_multiple_baseline,r_multiple_effective
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1243_upper,2022-11-11,2022,validation,upper,2022-11-11 00:48:00-05:00,2022-11-11 02:46:00-05:00,11701.105117735204,11746.855117735204,11701.105117735204,30.5,45.75,45.75,68.625,-45.75,-45.75,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1252_upper,2022-11-15,2022,validation,upper,2022-11-15 07:27:00-05:00,2022-11-15 08:30:00-05:00,11911.900365803349,11950.525365803349,11911.900365803349,25.75,38.625,38.625,57.9375,-38.625,-38.625,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1255_lower,2022-11-17,2022,validation,lower,2022-11-17 08:08:00-05:00,2022-11-17 12:57:00-05:00,11592.448534422849,11741.511034422849,11592.448534422849,66.25,99.375,99.375,149.0625,149.0625,149.0625,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1256_upper,2022-11-18,2022,validation,upper,2022-11-18 05:40:00-05:00,2022-11-18 11:02:00-05:00,11797.285748835811,11655.535748835811,11797.285748835811,63.0,94.5,94.5,141.75,141.75,141.75,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1257_lower,2022-11-22,2022,validation,lower,2022-11-22 03:32:00-05:00,2022-11-22 04:38:00-05:00,11549.211504960516,11620.086504960516,11549.211504960516,31.5,47.25,47.25,70.875,70.875,70.875,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1259_upper,2022-11-23,2022,validation,upper,2022-11-23 07:40:00-05:00,2022-11-23 09:37:00-05:00,11790.142005674925,11790.142005674925,11790.142005674925,31.75,47.625,47.625,71.4375,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1258_upper,2022-11-23,2022,validation,upper,2022-11-23 09:54:00-05:00,2022-11-23 12:57:00-05:00,11849.28186562853,11747.46936562853,11849.28186562853,45.25,67.875,67.875,101.8125,101.8125,101.8125,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.5,1.5
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1261_lower,2022-11-25,2022,validation,lower,2022-11-25 09:31:00-05:00,2022-11-25 11:28:00-05:00,11787.196029486602,11787.196029486602,11787.196029486602,34.75,52.125,52.125,78.1875,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1262_lower,2022-11-28,2022,validation,lower,2022-11-28 05:02:00-05:00,2022-11-28 13:56:00-05:00,11643.535986435312,11643.535986435312,11643.535986435312,64.75,97.125,97.125,145.6875,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1_5rr,primary_150r,OG_PRIMARY_150R,1.5,1260_lower,2022-11-29,2022,validation,lower,2022-11-29 09:45:00-05:00,2022-11-29 11:02:00-05:00,11573.070378612196,11573.070378612196,11573.070378612196,58.75,88.125,88.125,132.1875,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
