level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through,source
93_lower,2018-05-15,2018,lower,2018-05-15 08:39:00-04:00,2018-05-15 09:32:00-04:00,6928.543047509258,6897.043047509258,6928.543047509258,21.0,31.5,SL,-31.5,False,build_years
91_lower,2018-05-15,2018,lower,2018-05-15 09:55:00-04:00,2018-05-15 11:10:00-04:00,6870.515226696004,6870.515226696004,6870.515226696004,47.75,71.625,BE,0.0,False,build_years
98_lower,2018-05-23,2018,lower,2018-05-22 21:51:00-04:00,2018-05-22 22:40:00-04:00,6878.121273342689,6878.121273342689,6878.121273342689,10.25,15.375,BE,0.0,False,build_years
99_lower,2018-05-23,2018,lower,2018-05-22 23:06:00-04:00,2018-05-23 03:20:00-04:00,6869.126676304564,6869.126676304564,6869.126676304564,10.25,15.375,BE,0.0,False,build_years
96_lower,2018-05-23,2018,lower,2018-05-23 03:24:00-04:00,2018-05-23 04:16:00-04:00,6862.149696078842,6844.149696078842,6862.149696078842,12.0,18.0,SL,-18.0,False,build_years
94_lower,2018-05-23,2018,lower,2018-05-23 05:42:00-04:00,2018-05-23 09:40:00-04:00,6829.859454475612,6870.359454475612,6829.859454475612,18.0,27.0,TP,40.5,False,build_years
94_upper,2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,2018-05-24 04:48:00-04:00,6971.765545524388,6971.765545524388,6971.765545524388,16.5,24.75,BE,-0.0,False,build_years
98_upper,2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,2018-05-24 22:19:00-04:00,6988.503726657311,6988.503726657311,6988.503726657311,11.75,17.625,BE,-0.0,False,build_years
103_lower,2018-05-29,2018,lower,2018-05-29 02:47:00-04:00,2018-05-29 03:37:00-04:00,6935.904766379892,6935.904766379892,6935.904766379892,12.75,19.125,BE,0.0,False,build_years
102_lower,2018-05-29,2018,lower,2018-05-29 04:32:00-04:00,2018-05-29 10:05:00-04:00,6899.922722627305,6965.735222627305,6899.922722627305,29.25,43.875,TP,65.8125,False,build_years
93_upper,2018-06-01,2018,upper,2018-06-01 09:55:00-04:00,2018-06-01 10:55:00-04:00,7036.581952490742,7069.206952490742,7036.581952490742,21.75,32.625,SL,-32.625,False,build_years
107_upper,2018-06-04,2018,upper,2018-06-03 20:18:00-04:00,2018-06-04 03:53:00-04:00,7092.43659505992,7115.68659505992,7092.43659505992,15.5,23.25,SL,-23.25,False,build_years
