fold,target,model,train_end,test_end,n_train,n_test,n,mean_abs_error,rmse,median_abs_error,bias_mean_residual,coefficients
3,mfe_R,linear_regression,2024-09-15,2025-02-17,432,153,153,1.0224181471694256,1.7137330326964246,0.8517117144345732,0.07527605960654427,"{""sigma_day"": -0.005096, ""vol_close_prior"": -0.025083, ""ib_range_pts"": 0.047664, ""level_distance_from_open_pts"": -0.001305, ""side_direction"": 0.125764, ""entry_hour_et"": 0.007768, ""day_of_week"": -0.024107, ""dist_prior_bar_close_pts"": 0.040867, ""trailing_5session_avg_ib_range_pts"": 0.125862, ""stop_distance_R_cap"": -0.070306}"
3,mfe_R,unconditional_median_baseline,2024-09-15,2025-02-17,432,153,153,1.0879746658460647,1.9895574596803323,0.6062822336502484,0.6607717415621688,"{""median"": 0.7646963968857788}"
4,mae_R,linear_regression,2025-02-17,2025-07-24,585,148,148,0.8148509010247159,1.075927192973443,0.6324879496921042,0.11820450645307604,"{""sigma_day"": -0.014618, ""vol_close_prior"": 0.025251, ""ib_range_pts"": -0.026615, ""level_distance_from_open_pts"": 0.024983, ""side_direction"": -0.059813, ""entry_hour_et"": 0.020077, ""day_of_week"": -0.133164, ""dist_prior_bar_close_pts"": 0.104016, ""trailing_5session_avg_ib_range_pts"": -0.020844, ""stop_distance_R_cap"": -0.061686}"
4,mae_R,unconditional_median_baseline,2025-02-17,2025-07-24,585,148,148,0.7289942151409315,1.1965933641601845,0.43841412826672616,0.4025234750066961,"{""median"": 0.7006827527379209}"
4,mfe_R,linear_regression,2025-02-17,2025-07-24,585,148,148,1.3715391999355453,1.6657825555108576,1.2022981073786303,-0.8080493916545934,"{""sigma_day"": 0.015458, ""vol_close_prior"": -0.036723, ""ib_range_pts"": 0.028095, ""level_distance_from_open_pts"": -5.8e-05, ""side_direction"": 0.176278, ""entry_hour_et"": 0.015478, ""day_of_week"": 0.015789, ""dist_prior_bar_close_pts"": 0.042603, ""trailing_5session_avg_ib_range_pts"": 0.117296, ""stop_distance_R_cap"": -0.071065}"
4,mfe_R,unconditional_median_baseline,2025-02-17,2025-07-24,585,148,148,0.7720507542587012,1.2790592715639382,0.4885392536927954,0.2529471695944488,"{""median"": 0.7685929445191255}"
5,mae_R,linear_regression,2025-07-24,2025-12-26,733,142,142,1.277016739450292,1.6211665370552646,1.0874175940424675,0.47141053864688287,"{""sigma_day"": 0.000701, ""vol_close_prior"": 0.041921, ""ib_range_pts"": 0.006911, ""level_distance_from_open_pts"": -0.000193, ""side_direction"": -0.084718, ""entry_hour_et"": 0.019333, ""day_of_week"": -0.120321, ""dist_prior_bar_close_pts"": 0.098696, ""trailing_5session_avg_ib_range_pts"": -0.022995, ""stop_distance_R_cap"": -0.055982}"
5,mae_R,unconditional_median_baseline,2025-07-24,2025-12-26,733,142,142,0.8892011198539281,1.3833346015093164,0.5014820237337635,0.5265355229313395,"{""median"": 0.7097870415152059}"
5,mfe_R,linear_regression,2025-07-24,2025-12-26,733,142,142,1.0767662238515137,1.4008970945199564,0.900978016148613,-0.12645954622831873,"{""sigma_day"": 0.007344, ""vol_close_prior"": -0.040589, ""ib_range_pts"": 0.017969, ""level_distance_from_open_pts"": 0.004094, ""side_direction"": 0.210888, ""entry_hour_et"": 0.01876, ""day_of_week"": 0.051865, ""dist_prior_bar_close_pts"": 0.045254, ""trailing_5session_avg_ib_range_pts"": 0.021057, ""stop_distance_R_cap"": -0.060996}"
5,mfe_R,unconditional_median_baseline,2025-07-24,2025-12-26,733,142,142,0.7727483087761015,1.3316279718115531,0.4848305881126925,0.3288511016012866,"{""median"": 0.7215447786578268}"
