candidate,year,n,net_pts,PF_pts,avg_pts_per_trade,total_cap_norm_R,avg_cap_norm_R,max_dd_pts,max_dd_R,win_rate,avg_winner_pts,avg_loser_pts,payoff_ratio,hold_min_median,hold_min_mean,hold_min_p25,hold_min_p75,exit_TP,exit_SL,exit_cutoff,trades_per_year_overall,exit_BE
BE75,ALL,494,2376.98,1.2231,4.812,28.6772,0.0581,-932.6,-18.0666,0.417,63.26,-55.783,1.134,109.5,169.9,60.2,259.0,188,152,57,123.5,97.0
BE75,ALL_ex2026,422,154.25,1.0175,0.366,12.5336,0.0297,-932.6,-18.0666,0.4076,52.218,-51.925,1.006,114.0,170.2,61.0,258.0,157,137,48,123.5,80.0
BE75,ALL_ex_best_year(2020),345,2139.17,1.3141,6.2,37.3604,0.1083,-932.6,-8.4044,0.4464,58.115,-54.051,1.075,105.0,162.6,57.0,259.0,139,97,44,123.5,65.0
BE90,2018,138,-11.86,0.9932,-0.086,12.7556,0.0924,-439.69,-7.7493,0.4493,28.082,-33.711,0.833,115.0,166.6,59.2,250.5,59,43,12,123.5,24.0
BE90,2020,148,453.91,1.1193,3.067,-6.4824,-0.0438,-768.14,-15.4614,0.3716,77.451,-59.467,1.302,133.5,197.9,67.8,263.8,51,55,13,123.5,29.0
BE90,2023,136,369.57,1.1197,2.717,14.9545,0.11,-482.02,-4.4455,0.4485,56.677,-64.328,0.881,105.5,152.2,57.5,247.5,53,37,19,123.5,27.0
BE90,2026,72,3005.71,2.7441,41.746,21.9773,0.3052,-345.0,-4.1053,0.5556,118.227,-86.169,1.372,114.5,186.5,56.0,268.0,36,14,10,123.5,12.0
BE90,ALL,494,3817.34,1.3681,7.727,43.205,0.0875,-768.14,-15.7005,0.4413,65.079,-56.358,1.155,118.5,174.9,61.0,259.0,199,149,54,123.5,92.0
BE90,ALL_ex2026,422,811.63,1.0939,1.923,21.2277,0.0503,-768.14,-15.7005,0.4218,53.136,-52.723,1.008,119.0,172.9,61.0,252.8,163,135,44,123.5,80.0
BE90,ALL_ex_best_year(2020),346,3363.42,1.5124,9.721,49.6874,0.1436,-482.02,-7.7493,0.4711,60.905,-54.701,1.113,111.5,165.1,57.2,252.0,148,94,41,123.5,63.0
