candidate,year,n_trades,net_pts,PF_pts,PF_R,avg_pts_per_trade,cap_norm_R_total,cap_norm_R_avg,max_dd_pts,max_dd_R,win_rate,avg_winner_pts,avg_loser_pts,payoff_ratio,n_TP,n_SL,n_BE,n_cutoff,trades_per_year,hold_median_min,hold_mean_min,hold_p25_min,hold_p75_min,pct_pooled_profit
laneA_none_rr100,2023,96.0,1048.05,1.526,1.521,10.917,18.8747,0.1966,-378.11,-4.3353,0.5938,53.345,-51.092,1.044,55.0,34.0,0.0,7.0,96.0,105.5,185.8,40.8,273.5,
laneA_none_rr100,2026,54.0,2780.36,2.763,2.216,51.488,19.4779,0.3607,-402.75,-5.0,0.6852,117.769,-92.77,1.269,35.0,15.0,0.0,4.0,54.0,129.5,217.0,43.5,345.5,
laneA_none_rr100,ALL,382.0,5071.08,1.6166,1.348,13.275,54.048,0.1415,-621.14,-9.6963,0.5681,61.271,-49.847,1.229,206.0,148.0,0.0,28.0,95.5,136.5,222.7,49.2,327.0,
laneA_none_rr100,ALL_ex2026,328.0,2290.72,1.3446,1.2482,6.984,34.5701,0.1054,-621.14,-9.6963,0.5488,49.658,-44.916,1.106,171.0,133.0,0.0,24.0,109.33,136.5,223.6,52.8,327.0,
laneA_none_rr100,ALL_ex_best_year(2026),328.0,2290.72,1.3446,1.2482,6.984,34.5701,0.1054,-621.14,-9.6963,0.5488,49.658,-44.916,1.106,171.0,133.0,0.0,24.0,109.33,136.5,223.6,52.8,327.0,
laneA_none_rr100,pct_pooled_profit_2018,,95.92,,,,,,,,,,,,,,,,,,,,,1.89
laneA_none_rr100,pct_pooled_profit_2020,,1146.75,,,,,,,,,,,,,,,,,,,,,22.61
laneA_none_rr100,pct_pooled_profit_2023,,1048.05,,,,,,,,,,,,,,,,,,,,,20.67
laneA_none_rr100,pct_pooled_profit_2026,,2780.36,,,,,,,,,,,,,,,,,,,,,54.83
laneB_be60_rr100,2018,112.0,285.8,1.3439,1.3058,2.552,10.3037,0.092,-139.08,-5.6963,0.3929,25.381,-24.44,1.038,44.0,33.0,34.0,1.0,112.0,77.0,144.2,43.0,206.8,
laneB_be60_rr100,2020,131.0,1478.9,1.5635,1.0555,11.289,2.6981,0.0206,-563.16,-9.5677,0.4046,77.426,-51.464,1.504,49.0,47.0,27.0,8.0,131.0,98.0,187.8,61.5,254.0,
laneB_be60_rr100,2023,100.0,543.09,1.303,1.371,5.431,11.6362,0.1164,-378.11,-3.7536,0.44,53.079,-52.717,1.007,43.0,30.0,22.0,5.0,100.0,69.5,127.7,41.8,147.0,
laneB_be60_rr100,2026,57.0,2703.3,3.3838,2.6689,47.426,20.3202,0.3565,-402.75,-5.0,0.5965,112.862,-87.232,1.294,32.0,12.0,10.0,3.0,57.0,79.0,172.8,42.0,264.0,
laneB_be60_rr100,ALL,400.0,5011.09,1.7852,1.3573,12.528,44.9583,0.1124,-563.16,-9.5677,0.4375,65.103,-48.349,1.347,168.0,122.0,93.0,17.0,100.0,79.0,158.4,48.8,210.2,
laneB_be60_rr100,ALL_ex2026,343.0,2307.78,1.4397,1.2168,6.728,24.6381,0.0718,-563.16,-9.5677,0.4111,53.587,-44.101,1.215,136.0,110.0,83.0,14.0,114.33,79.0,156.1,49.5,204.5,
laneB_be60_rr100,ALL_ex_best_year(2026),343.0,2307.78,1.4397,1.2168,6.728,24.6381,0.0718,-563.16,-9.5677,0.4111,53.587,-44.101,1.215,136.0,110.0,83.0,14.0,114.33,79.0,156.1,49.5,204.5,
laneB_be60_rr100,pct_pooled_profit_2018,,285.8,,,,,,,,,,,,,,,,,,,,,5.7
laneB_be60_rr100,pct_pooled_profit_2020,,1478.9,,,,,,,,,,,,,,,,,,,,,29.51
laneB_be60_rr100,pct_pooled_profit_2023,,543.09,,,,,,,,,,,,,,,,,,,,,10.84
laneB_be60_rr100,pct_pooled_profit_2026,,2703.3,,,,,,,,,,,,,,,,,,,,,53.95
laneA_none_rr125,2018,106.0,197.06,1.1393,1.1934,1.859,10.2067,0.0963,-302.77,-8.4463,0.4906,31.0,-26.203,1.183,50.0,52.0,0.0,4.0,106.0,205.5,236.7,59.2,315.5,
laneA_none_rr125,2020,124.0,1150.87,1.3207,1.1944,9.281,11.1529,0.0899,-605.24,-7.0404,0.4919,77.703,-56.969,1.364,50.0,54.0,0.0,20.0,124.0,181.5,288.6,71.8,408.8,
laneA_none_rr125,2023,94.0,940.15,1.4054,1.4578,10.002,18.8747,0.2008,-518.26,-6.5853,0.5319,65.18,-52.701,1.237,48.0,39.0,0.0,7.0,94.0,159.0,232.5,56.0,340.2,
laneA_none_rr125,2026,53.0,2162.4,2.0457,1.5302,40.8,11.3674,0.2145,-466.78,-5.8954,0.566,141.012,-89.911,1.568,24.0,20.0,0.0,9.0,53.0,275.0,293.1,60.0,464.0,
laneA_none_rr125,ALL,377.0,4450.47,1.4739,1.2986,11.805,51.6017,0.1369,-832.73,-9.9807,0.5119,71.716,-51.037,1.405,172.0,165.0,0.0,40.0,94.25,188.0,260.6,61.0,370.0,
laneA_none_rr125,ALL_ex2026,324.0,2288.07,1.3125,1.2658,7.062,40.2343,0.1242,-605.24,-8.4463,0.5031,58.963,-45.483,1.296,148.0,145.0,0.0,31.0,108.0,181.5,255.3,62.8,352.2,
laneA_none_rr125,ALL_ex_best_year(2026),324.0,2288.07,1.3125,1.2658,7.062,40.2343,0.1242,-605.24,-8.4463,0.5031,58.963,-45.483,1.296,148.0,145.0,0.0,31.0,108.0,181.5,255.3,62.8,352.2,
laneA_none_rr125,pct_pooled_profit_2018,,197.06,,,,,,,,,,,,,,,,,,,,,4.43
laneA_none_rr125,pct_pooled_profit_2020,,1150.87,,,,,,,,,,,,,,,,,,,,,25.86
laneA_none_rr125,pct_pooled_profit_2023,,940.15,,,,,,,,,,,,,,,,,,,,,21.12
laneA_none_rr125,pct_pooled_profit_2026,,2162.4,,,,,,,,,,,,,,,,,,,,,48.59
laneB_be60_rr125,2018,112.0,369.87,1.4309,1.2715,3.302,9.6915,0.0865,-126.14,-5.75,0.3304,33.195,-23.842,1.392,36.0,35.0,39.0,2.0,112.0,79.5,154.0,52.8,219.2,
laneB_be60_rr125,2020,131.0,1582.52,1.5635,1.135,12.08,6.7075,0.0512,-553.54,-7.7737,0.374,89.608,-52.986,1.691,41.0,48.0,29.0,13.0,131.0,106.0,206.7,62.5,299.5,
laneB_be60_rr125,2023,99.0,562.78,1.3125,1.3949,5.685,12.3862,0.1251,-509.07,-5.2536,0.3636,65.66,-52.97,1.24,35.0,30.0,29.0,5.0,99.0,77.0,152.3,57.0,204.0,
laneB_be60_rr125,2026,56.0,1559.65,1.9902,1.4668,27.851,7.748,0.1384,-488.44,-6.1454,0.3929,142.485,-87.501,1.628,18.0,16.0,16.0,6.0,56.0,119.5,224.1,58.2,329.5,
laneB_be60_rr125,ALL,398.0,4074.82,1.5786,1.2739,10.238,36.5332,0.0918,-752.35,-7.7737,0.3618,77.204,-49.947,1.546,130.0,129.0,113.0,26.0,99.5,89.0,180.8,60.0,262.5,
laneB_be60_rr125,ALL_ex2026,342.0,2515.17,1.46,1.2465,7.354,28.7852,0.0842,-553.54,-7.7737,0.3567,65.432,-44.452,1.472,112.0,113.0,97.0,20.0,114.0,87.5,173.7,60.0,244.5,
laneB_be60_rr125,ALL_ex_best_year(2020),267.0,2492.3,1.5886,1.3565,9.334,29.8258,0.1117,-752.35,-7.649,0.3558,70.807,-48.117,1.472,89.0,81.0,84.0,13.0,89.0,86.0,168.1,55.0,245.0,
laneB_be60_rr125,pct_pooled_profit_2018,,369.87,,,,,,,,,,,,,,,,,,,,,9.08
laneB_be60_rr125,pct_pooled_profit_2020,,1582.52,,,,,,,,,,,,,,,,,,,,,38.84
laneB_be60_rr125,pct_pooled_profit_2023,,562.78,,,,,,,,,,,,,,,,,,,,,13.81
laneB_be60_rr125,pct_pooled_profit_2026,,1559.65,,,,,,,,,,,,,,,,,,,,,38.28
laneA_none_rr150,2018,105.0,418.31,1.2899,1.2959,3.984,16.2067,0.1543,-230.44,-6.6963,0.4667,37.979,-25.762,1.474,47.0,54.0,0.0,4.0,105.0,216.0,258.5,73.0,340.0,
laneA_none_rr150,2020,123.0,1226.08,1.3375,1.1459,9.968,8.9292,0.0726,-681.5,-9.3984,0.4472,88.339,-53.42,1.654,41.0,57.0,0.0,25.0,123.0,226.0,315.3,82.5,432.5,
laneA_none_rr150,2023,94.0,983.94,1.4063,1.3946,10.467,17.8448,0.1898,-490.04,-6.2554,0.4894,74.042,-50.458,1.467,40.0,43.0,0.0,11.0,94.0,207.0,255.9,63.2,381.2,
laneA_none_rr150,2026,53.0,2297.7,2.0165,1.4862,43.353,11.3977,0.2151,-537.39,-5.6454,0.5283,162.787,-90.413,1.8,21.0,22.0,0.0,10.0,53.0,313.0,318.5,61.0,510.0,
laneA_none_rr150,ALL,375.0,4926.03,1.5048,1.2945,13.136,54.3784,0.145,-780.4,-9.3984,0.4747,82.492,-49.531,1.665,149.0,176.0,0.0,50.0,93.75,226.0,285.0,71.5,392.0,
laneA_none_rr150,ALL_ex2026,322.0,2628.33,1.3506,1.2667,8.163,42.9807,0.1335,-681.5,-9.3984,0.4658,67.504,-43.588,1.549,128.0,154.0,0.0,40.0,107.33,217.5,279.5,72.2,385.8,
laneA_none_rr150,ALL_ex_best_year(2026),322.0,2628.33,1.3506,1.2667,8.163,42.9807,0.1335,-681.5,-9.3984,0.4658,67.504,-43.588,1.549,128.0,154.0,0.0,40.0,107.33,217.5,279.5,72.2,385.8,
laneA_none_rr150,pct_pooled_profit_2018,,418.31,,,,,,,,,,,,,,,,,,,,,8.49
laneA_none_rr150,pct_pooled_profit_2020,,1226.08,,,,,,,,,,,,,,,,,,,,,24.89
laneA_none_rr150,pct_pooled_profit_2023,,983.94,,,,,,,,,,,,,,,,,,,,,19.97
laneA_none_rr150,pct_pooled_profit_2026,,2297.7,,,,,,,,,,,,,,,,,,,,,46.64
laneB_be60_rr150,2018,112.0,507.87,1.5833,1.3186,4.535,11.6915,0.1044,-122.25,-6.0,0.2946,41.775,-23.533,1.775,32.0,36.0,42.0,2.0,112.0,87.5,165.2,60.8,224.5,
laneB_be60_rr150,2020,131.0,1716.53,1.6076,1.1552,13.103,7.7354,0.059,-548.66,-8.7396,0.3282,105.615,-52.314,2.019,34.0,48.0,34.0,15.0,131.0,134.0,221.1,63.0,328.0,
laneB_be60_rr150,2023,99.0,547.07,1.3038,1.3898,5.526,12.2268,0.1235,-441.48,-5.9753,0.3131,75.744,-52.97,1.43,28.0,30.0,34.0,7.0,99.0,93.0,168.7,61.0,237.0,
laneB_be60_rr150,2026,56.0,2131.87,2.3536,1.7379,38.069,12.248,0.2187,-488.44,-6.1454,0.3929,168.495,-87.501,1.926,18.0,16.0,16.0,6.0,56.0,119.5,230.3,60.8,336.5,
laneB_be60_rr150,ALL,398.0,4903.34,1.6934,1.3264,12.32,43.9018,0.1103,-674.8,-8.7396,0.3241,92.829,-49.452,1.877,112.0,130.0,126.0,30.0,99.5,103.5,193.6,61.0,286.2,
laneB_be60_rr150,ALL_ex2026,342.0,2771.47,1.5042,1.2685,8.104,31.6538,0.0926,-548.66,-8.7396,0.3129,77.272,-43.973,1.757,94.0,114.0,110.0,24.0,114.0,99.5,187.6,61.0,260.2,
laneB_be60_rr150,ALL_ex_best_year(2026),342.0,2771.47,1.5042,1.2685,8.104,31.6538,0.0926,-548.66,-8.7396,0.3129,77.272,-43.973,1.757,94.0,114.0,110.0,24.0,114.0,99.5,187.6,61.0,260.2,
laneB_be60_rr150,pct_pooled_profit_2018,,507.87,,,,,,,,,,,,,,,,,,,,,10.36
laneB_be60_rr150,pct_pooled_profit_2020,,1716.53,,,,,,,,,,,,,,,,,,,,,35.01
laneB_be60_rr150,pct_pooled_profit_2023,,547.07,,,,,,,,,,,,,,,,,,,,,11.16
laneB_be60_rr150,pct_pooled_profit_2026,,2131.87,,,,,,,,,,,,,,,,,,,,,43.48
laneA_none_rr200,2018,105.0,303.5,1.1973,1.2469,2.89,14.704,0.14,-234.76,-7.4414,0.4095,42.824,-24.805,1.726,34.0,58.0,0.0,13.0,105.0,260.0,301.6,79.0,385.0,
laneA_none_rr200,2020,123.0,310.71,1.075,0.9625,2.526,-2.622,-0.0213,-1016.15,-22.2967,0.3659,98.963,-53.111,1.863,28.0,65.0,0.0,30.0,123.0,308.0,363.4,94.5,576.5,
laneA_none_rr200,2023,94.0,1124.1,1.4429,1.4628,11.958,22.2161,0.2363,-565.23,-7.1426,0.4574,85.167,-49.766,1.711,31.0,45.0,0.0,18.0,94.0,282.5,292.4,84.0,393.8,
laneA_none_rr200,2026,53.0,945.97,1.3324,1.1017,17.848,2.8529,0.0538,-776.73,-8.6115,0.4151,172.362,-91.806,1.877,11.0,26.0,0.0,16.0,53.0,323.0,384.7,101.0,572.0,
laneA_none_rr200,ALL,375.0,2684.28,1.2426,1.1807,7.158,37.1509,0.0991,-1055.87,-22.2967,0.408,89.862,-49.841,1.803,104.0,194.0,0.0,77.0,93.75,301.0,331.3,91.5,459.0,
laneA_none_rr200,ALL_ex2026,322.0,1738.31,1.2115,1.1932,5.398,34.298,0.1065,-1016.15,-22.2967,0.4068,76.007,-43.03,1.766,93.0,168.0,0.0,61.0,107.33,289.5,322.6,90.5,450.0,
laneA_none_rr200,ALL_ex_best_year(2023),281.0,1560.18,1.183,1.0948,5.552,14.9348,0.0531,-1016.15,-22.2967,0.3915,91.698,-49.863,1.839,73.0,149.0,0.0,59.0,93.67,305.0,344.4,94.0,498.0,
laneA_none_rr200,pct_pooled_profit_2018,,303.5,,,,,,,,,,,,,,,,,,,,,11.31
laneA_none_rr200,pct_pooled_profit_2020,,310.71,,,,,,,,,,,,,,,,,,,,,11.58
laneA_none_rr200,pct_pooled_profit_2023,,1124.1,,,,,,,,,,,,,,,,,,,,,41.88
laneA_none_rr200,pct_pooled_profit_2026,,945.97,,,,,,,,,,,,,,,,,,,,,35.24
laneB_be60_rr200,2018,112.0,314.74,1.3369,1.175,2.81,6.9464,0.062,-178.12,-9.0,0.2232,49.953,-23.352,2.139,22.0,39.0,47.0,4.0,112.0,100.5,186.5,62.0,253.8,
laneB_be60_rr200,2020,131.0,843.17,1.2696,0.9457,6.436,-3.0468,-0.0233,-743.66,-17.2186,0.2519,120.324,-51.271,2.347,22.0,54.0,37.0,18.0,131.0,147.0,255.7,64.0,363.0,
laneB_be60_rr200,2023,99.0,248.73,1.1381,1.2565,2.512,8.0437,0.0812,-590.95,-9.2578,0.2424,85.405,-52.97,1.612,17.0,30.0,41.0,11.0,99.0,128.0,191.2,61.0,311.0,
laneB_be60_rr200,2026,56.0,1233.84,1.6837,1.441,22.033,7.8261,0.1398,-555.94,-7.1454,0.3036,178.731,-90.229,1.981,10.0,17.0,19.0,10.0,56.0,132.5,285.8,65.5,366.5,
laneB_be60_rr200,ALL,398.0,2640.48,1.3444,1.1365,6.634,19.7696,0.0497,-948.78,-17.2186,0.2487,104.118,-49.466,2.105,71.0,140.0,144.0,43.0,99.5,124.0,224.4,62.2,320.0,
laneB_be60_rr200,ALL_ex2026,342.0,1406.64,1.2399,1.0939,4.113,11.9434,0.0349,-743.66,-17.2186,0.2398,88.649,-43.427,2.041,61.0,123.0,125.0,33.0,114.0,122.0,214.4,62.0,314.2,
laneB_be60_rr200,ALL_ex_best_year(2026),342.0,1406.64,1.2399,1.0939,4.113,11.9434,0.0349,-743.66,-17.2186,0.2398,88.649,-43.427,2.041,61.0,123.0,125.0,33.0,114.0,122.0,214.4,62.0,314.2,
laneB_be60_rr200,pct_pooled_profit_2018,,314.74,,,,,,,,,,,,,,,,,,,,,11.92
laneB_be60_rr200,pct_pooled_profit_2020,,843.17,,,,,,,,,,,,,,,,,,,,,31.93
laneB_be60_rr200,pct_pooled_profit_2023,,248.73,,,,,,,,,,,,,,,,,,,,,9.42
laneB_be60_rr200,pct_pooled_profit_2026,,1233.84,,,,,,,,,,,,,,,,,,,,,46.73
