level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
1710_lower,2024-08-22,2024-08-22 10:30:00-04:00,2024-09-19 10:30:00-04:00,2024-08-22 11:43:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1709_lower,2024-08-21,2024-08-21 10:30:00-04:00,2024-09-18 10:30:00-04:00,2024-08-22 13:53:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1708_lower,2024-08-20,2024-08-20 10:30:00-04:00,2024-09-17 10:30:00-04:00,2024-08-22 13:54:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1711_lower,2024-08-27,2024-08-23 10:30:00-04:00,2024-09-20 10:30:00-04:00,2024-08-27 09:45:00-04:00,lower,executed,,flat,inactive,2024-08-27 09:45:00-04:00,2024-08-27 10:24:00-04:00,19451.74695529534,19592.74695529534,94.0,141.0,TP,141.0
1712_lower,2024-08-26,2024-08-26 10:30:00-04:00,2024-09-23 10:30:00-04:00,2024-08-28 11:03:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1707_lower,2024-08-19,2024-08-19 10:30:00-04:00,2024-09-16 10:30:00-04:00,2024-08-28 11:12:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1714_lower,2024-08-28,2024-08-28 10:30:00-04:00,2024-09-25 10:30:00-04:00,2024-08-28 13:57:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1706_lower,2024-08-16,2024-08-16 10:30:00-04:00,2024-09-13 10:30:00-04:00,2024-08-28 16:25:00-04:00,lower,skipped,no_cutoff,n/a,n/a,,,,,,,,
1713_lower,2024-08-27,2024-08-27 10:30:00-04:00,2024-09-24 10:30:00-04:00,2024-08-28 18:00:00-04:00,lower,skipped,no_anchor,n/a,n/a,,,,,,,,
1717_lower,2024-09-03,2024-09-02 10:30:00-04:00,2024-09-30 10:30:00-04:00,2024-09-03 09:34:00-04:00,lower,executed,,flat,inactive,2024-09-03 09:34:00-04:00,2024-09-03 09:54:00-04:00,19411.524220044812,19343.274220044812,45.5,68.25,SL,-68.25
1716_lower,2024-08-30,2024-08-30 10:30:00-04:00,2024-09-27 10:30:00-04:00,2024-09-03 10:00:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
1715_lower,2024-08-29,2024-08-29 10:30:00-04:00,2024-09-26 10:30:00-04:00,2024-09-03 10:46:00-04:00,lower,skipped,SAL,n/a,active,,,,,,,,
1718_lower,2024-09-03,2024-09-03 10:30:00-04:00,2024-10-01 10:30:00-04:00,2024-09-03 13:47:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1705_lower,2024-08-15,2024-08-15 10:30:00-04:00,2024-09-12 10:30:00-04:00,2024-09-03 14:01:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
1704_lower,2024-09-06,2024-08-14 10:30:00-04:00,2024-09-11 10:30:00-04:00,2024-09-06 03:15:00-04:00,lower,executed,,flat,inactive,2024-09-06 03:15:00-04:00,2024-09-06 04:17:00-04:00,18760.020037049617,18760.020037049617,58.25,87.375,BE,0.0
1719_lower,2024-09-04,2024-09-04 10:30:00-04:00,2024-10-02 10:30:00-04:00,2024-09-06 10:42:00-04:00,lower,skipped,simultaneous_collision,flat,inactive,,,,,,,,
1720_lower,2024-09-05,2024-09-05 10:30:00-04:00,2024-10-03 10:30:00-04:00,2024-09-06 10:42:00-04:00,lower,skipped,simultaneous_collision,flat,inactive,,,,,,,,
1703_lower,2024-09-06,2024-08-13 10:30:00-04:00,2024-09-10 10:30:00-04:00,2024-09-06 10:42:00-04:00,lower,executed,,flat,inactive,2024-09-06 10:42:00-04:00,2024-09-06 15:00:00-04:00,18573.319568993433,18488.75,230.75,200.0,cutoff,-84.56956899343277
1721_lower,2024-09-06,2024-09-06 10:30:00-04:00,2024-10-04 10:30:00-04:00,2024-09-06 16:19:00-04:00,lower,skipped,no_cutoff,n/a,n/a,,,,,,,,
1722_upper,2024-09-09,2024-09-09 10:30:00-04:00,2024-10-07 10:30:00-04:00,2024-09-11 12:39:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1723_upper,2024-09-10,2024-09-10 10:30:00-04:00,2024-10-08 10:30:00-04:00,2024-09-11 13:47:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1719_upper,2024-09-04,2024-09-04 10:30:00-04:00,2024-10-02 10:30:00-04:00,2024-09-11 15:53:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
1724_upper,2024-09-11,2024-09-11 10:30:00-04:00,2024-10-09 10:30:00-04:00,2024-09-11 15:53:00-04:00,upper,skipped,no_cutoff,n/a,n/a,,,,,,,,
1721_upper,2024-09-12,2024-09-06 10:30:00-04:00,2024-10-04 10:30:00-04:00,2024-09-11 22:30:00-04:00,upper,executed,,flat,inactive,2024-09-11 22:30:00-04:00,2024-09-11 23:53:00-04:00,19304.38461666969,19304.38461666969,52.25,78.375,BE,-0.0
1720_upper,2024-09-12,2024-09-05 10:30:00-04:00,2024-10-03 10:30:00-04:00,2024-09-12 02:10:00-04:00,upper,executed,,flat,inactive,2024-09-12 02:10:00-04:00,2024-09-12 03:19:00-04:00,19340.506672247193,19298.881672247193,27.75,41.625,TP,41.625
1725_upper,2024-09-12,2024-09-12 10:30:00-04:00,2024-10-10 10:30:00-04:00,2024-09-13 12:02:00-04:00,upper,skipped,blocked_time,n/a,n/a,,,,,,,,
1726_upper,2024-09-13,2024-09-13 10:30:00-04:00,2024-10-11 10:30:00-04:00,2024-09-15 20:00:00-04:00,upper,skipped,simultaneous_collision,flat,inactive,,,,,,,,
1718_upper,2024-09-16,2024-09-03 10:30:00-04:00,2024-10-01 10:30:00-04:00,2024-09-15 20:00:00-04:00,upper,executed,,flat,inactive,2024-09-15 20:00:00-04:00,2024-09-16 04:07:00-04:00,19778.25,19778.25,48.0,72.0,BE,-0.0
1717_upper,2024-09-02,2024-09-02 10:30:00-04:00,2024-09-30 10:30:00-04:00,2024-09-17 09:31:00-04:00,upper,skipped,simultaneous_collision,flat,inactive,,,,,,,,
