sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-06-25,2018,lower,2018-06-25 09:38:00-04:00,7135.771034140436,15.0,22.5,-22.5,SL
2018-07-09,2018,upper,2018-07-08 22:00:00-04:00,7265.310474133213,13.75,20.625,20.625,TP
2018-06-29,2018,upper,2018-06-28 22:56:00-04:00,7090.378056861457,18.5,27.75,-0.0,BE
2018-07-06,2018,upper,2018-07-06 10:57:00-04:00,7177.275484660146,39.25,58.875,-47.474515339854406,cutoff
2018-07-02,2018,lower,2018-07-02 02:53:00-04:00,7006.349515339854,24.25,36.375,36.375,TP
2018-07-03,2018,upper,2018-07-02 21:06:00-04:00,7122.051560953015,11.75,17.625,17.625,TP
2018-07-06,2018,upper,2018-07-06 10:41:00-04:00,7173.905154392371,39.25,58.875,-50.844845607629395,cutoff
2018-07-09,2018,upper,2018-07-08 20:07:00-04:00,7242.830348304335,8.25,12.375,-12.375,SL
2018-07-11,2018,lower,2018-07-10 21:02:00-04:00,7221.247047857716,17.0,25.5,25.5,TP
2018-07-13,2018,upper,2018-07-13 00:06:00-04:00,7412.391967767347,7.75,11.625,-0.0,BE
2018-07-24,2018,upper,2018-07-24 09:35:00-04:00,7473.620483406812,18.75,28.125,28.125,TP
2018-07-17,2018,lower,2018-07-17 09:11:00-04:00,7295.379516593188,16.25,24.375,24.375,TP
2018-07-24,2018,upper,2018-07-24 09:36:00-04:00,7477.930208070894,18.75,28.125,28.125,TP
2018-07-17,2018,lower,2018-07-16 22:11:00-04:00,7311.569791929106,19.5,29.25,0.0,BE
2018-07-23,2018,lower,2018-07-23 09:57:00-04:00,7313.704944623869,11.0,16.5,16.5,TP
2018-07-24,2018,upper,2018-07-24 09:36:00-04:00,7474.393233010719,18.75,28.125,28.125,TP
2018-07-24,2018,upper,2018-07-24 09:12:00-04:00,7465.71174356606,18.75,28.125,-0.0,BE
2018-07-30,2018,lower,2018-07-30 09:43:00-04:00,7245.329793698571,20.5,30.75,-30.75,SL
2018-08-03,2018,upper,2018-08-03 07:33:00-04:00,7412.450384106189,9.5,14.25,14.25,TP
2018-08-07,2018,upper,2018-08-07 09:32:00-04:00,7476.742504004107,5.0,7.5,-7.5,SL
2018-08-08,2018,upper,2018-08-08 10:55:00-04:00,7487.98156185964,28.0,42.0,4.731561859640351,cutoff
2018-08-15,2018,lower,2018-08-15 10:33:00-04:00,7316.64343814036,44.5,66.75,35.60656185964035,cutoff
2018-08-27,2018,upper,2018-08-27 10:13:00-04:00,7552.09610379633,26.5,39.75,-12.403896203670229,cutoff
2018-08-13,2018,lower,2018-08-13 00:16:00-04:00,7383.90389620367,10.75,16.125,16.125,TP
2018-08-27,2018,upper,2018-08-27 09:59:00-04:00,7543.980905590994,8.25,12.375,-12.375,SL
2018-08-15,2018,lower,2018-08-15 09:58:00-04:00,7378.144094409006,15.0,22.5,-22.5,SL
2018-08-13,2018,lower,2018-08-12 22:45:00-04:00,7390.632051540594,10.75,16.125,0.0,BE
