touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-06-28 05:48:00-04:00,2023,lower,-1.8582507858186308,False,1.900000000000091,2.599999999999909,3.599999999999909,8.799999999999955,1916.8412478689518,1.0
2023-07-12 10:46:00-04:00,2023,upper,1.532808116507789,False,0.900000000000091,4.900000000000091,17.0,3.099999999999909,1963.0623887061774,-1.0
2023-06-29 08:33:00-04:00,2023,lower,1.2713038721978176,True,1.2999999999999545,3.1000000000001364,1.900000000000091,7.0,1909.2376112938223,1.0
2023-07-13 08:30:00-04:00,2023,upper,-0.6157669141577624,False,1.7000000000000455,4.400000000000091,2.900000000000091,5.0,1968.2834765539696,-1.0
2023-06-29 08:53:00-04:00,2023,lower,-2.7111257428803897,False,2.7000000000000455,3.1000000000001364,1.900000000000091,7.0,1904.3665234460304,1.0
2023-07-11 22:22:00-04:00,2023,upper,2.2494311346055373,False,1.099999999999909,2.7999999999999545,3.400000000000091,2.0,1946.1668005481342,-1.0
2023-06-30 13:20:00-04:00,2023,upper,1.7842457291668754,False,1.099999999999909,2.599999999999909,3.2000000000000455,15.400000000000091,1930.609836446878,-1.0
2023-07-11 22:22:00-04:00,2023,upper,2.2494311346055373,False,1.099999999999909,2.7999999999999545,3.400000000000091,2.0,1946.246188296442,-1.0
2023-07-12 09:50:00-04:00,2023,upper,3.137699834251525,False,3.800000000000182,11.199999999999818,17.0,3.099999999999909,1961.0829832941756,-1.0
2023-07-12 09:32:00-04:00,2023,upper,3.4659025318336747,False,4.399999999999864,11.199999999999818,17.0,3.099999999999909,1959.039537434661,-1.0
2023-07-06 08:30:00-04:00,2023,lower,-3.3428894457846536,False,3.900000000000091,21.0,3.2000000000000455,12.099999999999909,1912.6604625653388,1.0
2023-07-13 03:05:00-04:00,2023,upper,1.0887346412708798,False,0.7999999999999545,1.7000000000000455,7.2999999999999545,5.599999999999909,1967.3879028289705,-1.0
