level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
37_lower,37,2018-02-22,2018-02-22 10:30:00-05:00,2018-03-22 10:30:00-04:00,lower,6746.253603091625,2018-03-01 13:45:00-05:00
38_upper,38,2018-02-23,2018-02-23 10:30:00-05:00,2018-03-23 10:30:00-04:00,upper,6858.654017447698,2018-02-23 14:41:00-05:00
38_lower,38,2018-02-23,2018-02-23 10:30:00-05:00,2018-03-23 10:30:00-04:00,lower,6767.595982552302,2018-03-01 13:05:00-05:00
39_upper,39,2018-02-26,2018-02-26 10:30:00-05:00,2018-03-26 10:30:00-04:00,upper,6985.5519923351985,2018-02-26 15:08:00-05:00
39_lower,39,2018-02-26,2018-02-26 10:30:00-05:00,2018-03-26 10:30:00-04:00,lower,6896.1980076648015,2018-02-27 22:39:00-05:00
40_upper,40,2018-02-27,2018-02-27 10:30:00-05:00,2018-03-27 10:30:00-04:00,upper,7040.126177705852,2018-03-09 08:32:00-05:00
40_lower,40,2018-02-27,2018-02-27 10:30:00-05:00,2018-03-27 10:30:00-04:00,lower,6943.873822294148,2018-02-27 11:36:00-05:00
41_upper,41,2018-02-28,2018-02-28 10:30:00-05:00,2018-03-28 10:30:00-04:00,upper,6989.28195751305,2018-03-08 19:00:00-05:00
41_lower,41,2018-02-28,2018-02-28 10:30:00-05:00,2018-03-28 10:30:00-04:00,lower,6900.96804248695,2018-02-28 11:47:00-05:00
42_upper,42,2018-03-01,2018-03-01 10:30:00-05:00,2018-03-29 10:30:00-04:00,upper,6939.482493567036,2018-03-08 02:03:00-05:00
42_lower,42,2018-03-01,2018-03-01 10:30:00-05:00,2018-03-29 10:30:00-04:00,lower,6768.767506432964,2018-03-01 13:05:00-05:00
43_upper,43,2018-03-02,2018-03-02 10:30:00-05:00,2018-04-02 10:30:00-04:00,upper,6733.458492823,2018-03-02 11:29:00-05:00
43_lower,43,2018-03-02,2018-03-02 10:30:00-05:00,2018-04-02 10:30:00-04:00,lower,6614.166507177,2018-03-22 21:20:00-04:00
44_upper,44,2018-03-05,2018-03-05 10:30:00-05:00,2018-04-03 10:30:00-04:00,upper,6832.084476981598,2018-03-05 11:07:00-05:00
44_lower,44,2018-03-05,2018-03-05 10:30:00-05:00,2018-04-03 10:30:00-04:00,lower,6726.915523018402,2018-03-22 11:39:00-04:00
45_upper,45,2018-03-06,2018-03-06 10:30:00-05:00,2018-04-04 10:30:00-04:00,upper,6965.8848700902745,2018-03-08 09:08:00-05:00
45_lower,45,2018-03-06,2018-03-06 10:30:00-05:00,2018-04-04 10:30:00-04:00,lower,6870.7401299097255,2018-03-06 18:00:00-05:00
46_upper,46,2018-03-07,2018-03-07 10:30:00-05:00,2018-04-05 10:30:00-04:00,upper,6923.315090856757,2018-03-07 15:07:00-05:00
46_lower,46,2018-03-07,2018-03-07 10:30:00-05:00,2018-04-05 10:30:00-04:00,lower,6818.809909143243,2018-03-22 03:59:00-04:00
47_upper,47,2018-03-08,2018-03-08 10:30:00-05:00,2018-04-06 10:30:00-04:00,upper,6995.25231793177,2018-03-08 19:00:00-05:00
47_lower,47,2018-03-08,2018-03-08 10:30:00-05:00,2018-04-06 10:30:00-04:00,lower,6918.12268206823,2018-03-19 10:53:00-04:00
48_upper,48,2018-03-09,2018-03-09 10:30:00-05:00,2018-04-09 10:30:00-04:00,upper,7093.2213572092105,2018-03-09 12:00:00-05:00
48_lower,48,2018-03-09,2018-03-09 10:30:00-05:00,2018-04-09 10:30:00-04:00,lower,7005.4036427907895,2018-03-18 21:09:00-04:00
49_upper,49,2018-03-12,2018-03-12 10:30:00-04:00,2018-04-10 10:30:00-04:00,upper,7193.297700808425,2018-03-13 08:31:00-04:00
49_lower,49,2018-03-12,2018-03-12 10:30:00-04:00,2018-04-10 10:30:00-04:00,lower,7114.827299191575,2018-03-13 11:34:00-04:00
50_upper,50,2018-03-13,2018-03-13 10:30:00-04:00,2018-04-11 10:30:00-04:00,upper,7234.6984957136,
50_lower,50,2018-03-13,2018-03-13 10:30:00-04:00,2018-04-11 10:30:00-04:00,lower,7163.6765042864,2018-03-13 10:52:00-04:00
51_upper,51,2018-03-14,2018-03-14 10:30:00-04:00,2018-04-12 10:30:00-04:00,upper,7143.932492884149,
51_lower,51,2018-03-14,2018-03-14 10:30:00-04:00,2018-04-12 10:30:00-04:00,lower,7051.817507115851,2018-03-14 11:37:00-04:00
52_upper,52,2018-03-15,2018-03-15 10:30:00-04:00,2018-04-13 10:30:00-04:00,upper,7111.606887627468,
52_lower,52,2018-03-15,2018-03-15 10:30:00-04:00,2018-04-13 10:30:00-04:00,lower,7019.893112372532,2018-03-18 20:59:00-04:00
53_upper,53,2018-03-16,2018-03-16 10:30:00-04:00,2018-04-16 10:30:00-04:00,upper,7099.813692390755,
53_lower,53,2018-03-16,2018-03-16 10:30:00-04:00,2018-04-16 10:30:00-04:00,lower,7041.936307609245,2018-03-16 11:57:00-04:00
54_upper,54,2018-03-19,2018-03-19 10:30:00-04:00,2018-04-17 10:30:00-04:00,upper,7003.370273814067,
54_lower,54,2018-03-19,2018-03-19 10:30:00-04:00,2018-04-17 10:30:00-04:00,lower,6922.879726185933,2018-03-19 10:44:00-04:00
55_upper,55,2018-03-20,2018-03-20 10:30:00-04:00,2018-04-18 10:30:00-04:00,upper,6936.162501184603,2018-03-21 14:00:00-04:00
55_lower,55,2018-03-20,2018-03-20 10:30:00-04:00,2018-04-18 10:30:00-04:00,lower,6845.837498815397,2018-03-21 14:51:00-04:00
56_upper,56,2018-03-21,2018-03-21 10:30:00-04:00,2018-04-19 10:30:00-04:00,upper,6937.354713898154,2018-03-21 14:00:00-04:00
56_lower,56,2018-03-21,2018-03-21 10:30:00-04:00,2018-04-19 10:30:00-04:00,lower,6848.395286101846,2018-03-21 14:51:00-04:00
57_upper,57,2018-03-22,2018-03-22 10:30:00-04:00,2018-04-20 10:30:00-04:00,upper,6844.2467974765605,2018-03-27 03:17:00-04:00
57_lower,57,2018-03-22,2018-03-22 10:30:00-04:00,2018-04-20 10:30:00-04:00,lower,6730.5032025234395,2018-03-22 11:36:00-04:00
58_upper,58,2018-03-23,2018-03-23 10:30:00-04:00,2018-04-23 10:30:00-04:00,upper,6755.490441716807,2018-03-26 15:42:00-04:00
58_lower,58,2018-03-23,2018-03-23 10:30:00-04:00,2018-04-23 10:30:00-04:00,lower,6623.134558283193,2018-03-23 11:59:00-04:00
59_upper,59,2018-03-26,2018-03-26 10:30:00-04:00,2018-04-24 10:30:00-04:00,upper,6713.893677993821,2018-03-26 14:30:00-04:00
59_lower,59,2018-03-26,2018-03-26 10:30:00-04:00,2018-04-24 10:30:00-04:00,lower,6594.606322006179,2018-03-26 11:06:00-04:00
60_upper,60,2018-03-27,2018-03-27 10:30:00-04:00,2018-04-25 10:30:00-04:00,upper,6867.6422392206005,
