level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason,hold_minutes
670_upper,2020-08-13,2020,upper,2020-08-13 13:31:00+00:00,2020-08-13 13:00:00-04:00,11198.889330594502,76.0,63.75,-63.75,-1.0,SL,209
672_upper,2020-08-18,2020,upper,2020-08-18 13:35:00+00:00,2020-08-18 10:09:00-04:00,11353.428427392624,44.0,43.25,44.0,1.0173410404624277,TP,34
691_upper,2020-10-01,2020,upper,2020-10-01 12:39:00+00:00,2020-10-01 10:11:00-04:00,11582.121047368802,84.25,68.75,84.25,1.2254545454545454,TP,92
708_upper,2020-10-09,2020,upper,2020-10-09 12:56:00+00:00,2020-10-09 09:32:00-04:00,11616.392866816184,27.5,31.5,27.5,0.873015873015873,TP,36
706_upper,2020-10-09,2020,upper,2020-10-09 13:43:00+00:00,2020-10-09 11:03:00-04:00,11626.47829548424,32.5,35.0,-35.0,-1.0,SL,80
757_upper,2020-12-15,2020,upper,2020-12-15 14:30:00+00:00,2020-12-15 09:39:00-05:00,12569.580163178834,36.0,36.25,3.625,0.1,LOCK,9
756_upper,2020-12-18,2020,upper,2020-12-18 14:18:00+00:00,2020-12-18 09:34:00-05:00,12787.820547812002,27.0,31.0,27.0,0.8709677419354839,TP,16
764_upper,2020-12-28,2020,upper,2020-12-28 13:45:00+00:00,2020-12-28 09:42:00-05:00,12816.798684725329,29.5,32.5,3.25,0.1,LOCK,57
1282_upper,2023-01-09,2023,upper,2023-01-09 14:30:00+00:00,2023-01-09 09:52:00-05:00,11211.791251359777,96.25,75.75,-75.75,-1.0,SL,22
1293_upper,2023-01-12,2023,upper,2023-01-12 13:18:00+00:00,2023-01-12 08:29:00-05:00,11509.48180646574,68.0,59.25,68.0,1.1476793248945147,TP,11
1294_upper,2023-01-18,2023,upper,2023-01-18 13:30:00+00:00,2023-01-18 08:33:00-05:00,11716.054661598511,39.25,39.25,39.25,1.0,TP,3
1341_upper,2023-03-21,2023,upper,2023-03-21 13:32:00+00:00,2023-03-21 09:55:00-04:00,12804.894940581522,48.5,46.0,4.600000000000364,0.1000000000000079,LOCK,23
1348_upper,2023-03-30,2023,upper,2023-03-30 12:11:00+00:00,2023-03-30 10:27:00-04:00,13044.435005252406,60.25,52.5,-52.5,-1.0,SL,136
1353_lower,2023-04-06,2023,lower,2023-04-06 13:34:00+00:00,2023-04-06 10:06:00-04:00,12969.69249010037,64.75,57.25,64.75,1.1310043668122272,TP,32
1369_lower,2023-05-04,2023,lower,2023-05-04 13:44:00+00:00,2023-05-04 11:49:00-04:00,13042.435086729922,67.25,60.0,6.0,0.1,LOCK,125
1420_upper,2023-07-12,2023,upper,2023-07-12 12:30:00+00:00,2023-07-12 08:31:00-04:00,15363.52393419702,45.0,44.0,-44.0,-1.0,SL,1
1457_upper,2023-09-01,2023,upper,2023-09-01 12:32:00+00:00,2023-09-01 08:34:00-04:00,15629.449940807615,37.25,38.0,3.7999999999992724,0.09999999999998085,LOCK,2
1461_upper,2023-09-11,2023,upper,2023-09-11 13:33:00+00:00,2023-09-11 09:38:00-04:00,15639.465689431374,39.0,39.25,39.0,0.9936305732484076,TP,5
1475_upper,2023-09-29,2023,upper,2023-09-29 13:48:00+00:00,2023-09-29 10:54:00-04:00,15030.213529050536,89.0,72.0,7.200000000000728,0.10000000000001011,LOCK,66
1494_upper,2023-11-03,2023,upper,2023-11-03 13:31:00+00:00,2023-11-03 10:00:00-04:00,15070.892577085337,84.25,71.75,-71.75,-1.0,SL,29
1511_upper,2023-11-15,2023,upper,2023-11-15 13:25:00+00:00,2023-11-15 09:53:00-05:00,15999.786834905071,93.0,72.0,93.0,1.2916666666666667,TP,88
1520_upper,2023-11-29,2023,upper,2023-11-29 13:06:00+00:00,2023-11-29 09:35:00-05:00,16150.415113714713,38.75,39.75,-39.75,-1.0,SL,89
1535_upper,2023-12-19,2023,upper,2023-12-19 15:31:00+00:00,2023-12-19 15:59:00-05:00,16999.357653136416,47.75,48.0,-21.642346863583953,-0.4508822263246657,cutoff,328
2091_upper,2026-02-25,2026,upper,2026-02-25 13:55:00+00:00,2026-02-25 09:31:00-05:00,25154.51755998832,90.5,70.75,-70.75,-1.0,SL,36
2111_upper,2026-04-10,2026,upper,2026-04-10 12:29:00+00:00,2026-04-10 08:30:00-04:00,25378.695918099,66.0,58.0,66.0,1.1379310344827587,TP,1
2148_upper,2026-05-11,2026,upper,2026-05-11 13:32:00+00:00,2026-05-11 09:45:00-04:00,29422.9618069465,185.0,117.75,11.775000000001455,0.10000000000001236,LOCK,13
2163_lower,2026-06-05,2026,lower,2026-06-05 13:30:00+00:00,2026-06-05 09:35:00-04:00,30011.076790907744,124.0,94.5,9.450000000000728,0.1000000000000077,LOCK,5
