session_date,touched_at,exit_time,pnl,event
2023-02-21,2023-02-21 08:46:00+00:00,2023-02-21 03:51:00-05:00,-28.25,SAL_activated
2023-03-14,2023-03-14 13:16:00+00:00,2023-03-14 10:31:00-04:00,-96.75,SAL_activated
2023-03-30,2023-03-30 09:27:00+00:00,2023-03-30 08:35:00-04:00,-49.5,SAL_activated
2023-05-24,2023-05-24 07:03:00+00:00,2023-05-24 09:00:00-04:00,-63.5,SAL_activated
2023-05-26,2023-05-26 11:26:00+00:00,2023-05-26 09:50:00-04:00,-64.75,SAL_activated
2023-05-30,2023-05-30 09:20:00+00:00,2023-05-30 08:07:00-04:00,-40.5,SAL_activated
2023-06-02,2023-06-02 09:14:00+00:00,2023-06-02 09:34:00-04:00,-61.25,SAL_activated
2023-06-12,2023-06-12 06:16:00+00:00,2023-06-12 05:03:00-04:00,-43.75,SAL_activated
2023-06-30,2023-06-30 12:38:00+00:00,2023-06-30 09:44:00-04:00,-42.5,SAL_activated
2023-07-06,2023-07-06 12:30:00+00:00,2023-07-06 08:49:00-04:00,-50.0,SAL_activated
2023-07-12,2023-07-12 12:30:00+00:00,2023-07-12 08:31:00-04:00,-44.0,SAL_activated
2023-07-13,2023-07-13 04:13:00+00:00,2023-07-13 09:33:00-04:00,-64.75,SAL_activated
2023-07-27,2023-07-27 07:49:00+00:00,2023-07-27 08:16:00-04:00,-59.75,SAL_activated
2023-08-02,2023-08-02 06:53:00+00:00,2023-08-02 03:59:00-04:00,-53.25,SAL_activated
2023-08-02,2023-08-02 08:02:00+00:00,,,blocked_by_SAL
2023-08-11,2023-08-11 12:31:00+00:00,2023-08-11 09:30:00-04:00,-60.75,SAL_activated
2023-08-21,2023-08-21 08:24:00+00:00,2023-08-21 09:38:00-04:00,-54.5,SAL_activated
2023-08-22,2023-08-22 07:44:00+00:00,2023-08-22 08:07:00-04:00,-66.0,SAL_activated
2023-09-07,2023-09-07 12:14:00+00:00,2023-09-07 08:39:00-04:00,-57.75,SAL_activated
2023-09-21,2023-09-21 10:01:00+00:00,2023-09-21 08:30:00-04:00,-71.5,SAL_activated
2023-10-23,2023-10-23 07:43:00+00:00,2023-10-23 05:30:00-04:00,-52.0,SAL_activated
2023-10-23,2023-10-23 09:31:00+00:00,,,blocked_by_SAL
2023-10-23,2023-10-23 09:32:00+00:00,,,blocked_by_SAL
2023-10-23,2023-10-23 09:48:00+00:00,,,blocked_by_SAL
2023-11-02,2023-11-02 12:30:00+00:00,2023-11-02 15:59:00-04:00,-63.96542447912361,SAL_activated
2023-11-14,2023-11-14 13:30:00+00:00,2023-11-14 13:30:00+00:00,-37.0,SAL_activated
2023-11-29,2023-11-29 09:23:00+00:00,2023-11-29 08:03:00-05:00,-44.5,SAL_activated
2023-11-29,2023-11-29 13:06:00+00:00,,,blocked_by_SAL
2023-11-29,2023-11-29 13:30:00+00:00,,,blocked_by_SAL
2023-11-29,2023-11-29 13:30:00+00:00,,,blocked_by_SAL
2023-12-04,2023-12-04 14:24:00+00:00,2023-12-04 10:19:00-05:00,-50.0,SAL_activated
2023-12-19,2023-12-19 12:17:00+00:00,2023-12-19 15:59:00-05:00,-45.75,SAL_activated
2026-01-19,2026-01-19 07:10:00+00:00,2026-01-19 04:36:00-05:00,-65.5,SAL_activated
2026-01-20,2026-01-20 08:31:00+00:00,2026-01-20 04:26:00-05:00,-76.25,SAL_activated
2026-01-27,2026-01-27 06:06:00+00:00,2026-01-27 15:59:00-05:00,-49.223651305608655,SAL_activated
2026-02-25,2026-02-25 13:55:00+00:00,2026-02-25 09:31:00-05:00,-70.75,SAL_activated
2026-03-02,2026-03-02 06:48:00+00:00,2026-03-02 03:00:00-05:00,-81.0,SAL_activated
2026-03-19,2026-03-19 07:57:00+00:00,2026-03-19 08:30:00-04:00,-110.0,SAL_activated
2026-04-24,2026-04-24 11:07:00+00:00,2026-04-24 07:30:00-04:00,-89.0,SAL_activated
2026-05-27,2026-05-27 11:00:00+00:00,2026-05-27 08:21:00-04:00,-70.25,SAL_activated
2026-05-27,2026-05-27 12:22:00+00:00,,,blocked_by_SAL
