level_id,touched_at,range_15m,range_30m,range_60m,range_120m,prev_session_range,atr14_5m,atr14_15m,atr14_30m,atr14_60m,ewma_vol_hl30m,ewma_vol_hl60m,ewma_vol_hl120m,vxn_prior_close,vxn_prior_pct_change,rvol_30m_hist15,rvol_30m_hist20,rvol_30m_hist30,rvol_60m_hist15,rvol_60m_hist20,rvol_60m_hist30,rvol_120m_hist15,rvol_120m_hist20,rvol_120m_hist30
1765_upper,2024-11-10 18:00:00-05:00,,,,,143.25,10.0,20.875,31.678571428571427,45.625,3.0247881552981704,3.556314548971367,4.059053182492792,17.8799991607666,-0.025613145009944716,,,,,,,0.1,0.1,0.1
1765_lower,2024-11-15 03:24:00-05:00,45.75,26.25,34.5,98.0,239.75,14.839285714285714,21.375,27.910714285714285,56.44642857142857,5.529960637050706,4.8188226810150026,4.355949906253458,17.700000762939453,0.0114286150251115,1.9055299539170507,1.96437054631829,1.9193501595590368,1.6976343026121241,1.930232558139535,1.8949250446981158,2.559263050153531,2.678808656524534,2.2190273340433087
1766_upper,2024-12-04 03:53:00-05:00,16.0,18.75,16.0,30.5,194.75,8.517857142857142,12.0,13.892857142857142,33.125,2.5283299950457123,2.2659876178666476,2.103679961583386,15.760000228881836,-0.022332542903805597,0.9224700761697497,0.8664877986457136,0.9655466970387244,1.2517279010549291,1.0433596118859916,0.9121272365805169,1.2482474226804123,1.2417187980719926,1.237277743715512
1766_lower,2024-11-14 15:06:00-05:00,39.25,39.25,66.0,104.0,212.0,25.392857142857142,41.285714285714285,57.05357142857143,57.125,7.183391027979102,7.2319691645731154,7.313599620081641,17.5,-0.03421638027140561,1.38875,1.3423728813559321,1.4067248171074844,1.4195720953544466,1.390817297363656,1.41828367551327,1.452803125512267,1.387235208181154,1.1253359575053437
1767_upper,2024-12-04 10:38:00-05:00,46.25,72.75,68.75,68.75,194.75,26.053571428571427,24.571428571428573,25.535714285714285,23.75,7.424884525800963,6.676827979074585,5.527712237110136,15.760000228881836,-0.022332542903805597,1.08171921391206,1.082573783442795,1.1261407123932883,0.9040053352163508,0.9475718573954521,0.9816539815971828,0.9619839449541284,0.9537046511363507,0.9713746424725268
1767_lower,2024-11-14 15:04:00-05:00,39.25,39.25,66.0,104.0,212.0,24.875,41.285714285714285,57.05357142857143,57.125,7.189191772341097,7.235817874821814,7.316402559756114,17.5,-0.03421638027140561,1.38875,1.3423728813559321,1.4067248171074844,1.4195720953544466,1.390817297363656,1.41828367551327,1.452803125512267,1.387235208181154,1.1253359575053437
1768_upper,2024-12-04 05:50:00-05:00,13.5,16.25,26.25,44.5,194.75,7.482142857142857,14.125,17.071428571428573,28.75,2.187536484976395,2.259785944529645,2.2140872425702494,15.760000228881836,-0.022332542903805597,1.6230116648992576,1.3568262411347518,1.212517330164389,1.9427932960893854,1.8287757677745058,1.6534804108025865,1.1412733607855559,1.1115795968737145,1.0988106129917659
1768_lower,2024-11-14 12:33:00-05:00,27.75,57.75,54.0,99.75,212.0,21.75,45.607142857142854,40.910714285714285,44.142857142857146,7.562801536888042,7.828929470622168,7.442499961085795,17.5,-0.03421638027140561,1.180218251845512,1.1770699957319675,1.1501629089013423,0.8591567827672412,0.8944464013150171,0.9055572065378901,0.9492850185076953,0.927472343406196,0.884401351827181
1769_upper,2024-12-04 03:35:00-05:00,12.5,18.75,16.0,30.5,194.75,7.857142857142857,11.732142857142858,13.892857142857142,33.125,2.4510545218467583,2.1624854157136557,2.032602204668927,15.760000228881836,-0.022332542903805597,0.9224700761697497,0.8664877986457136,0.9655466970387244,1.2517279010549291,1.0433596118859916,0.9121272365805169,1.2482474226804123,1.2417187980719926,1.237277743715512
1769_lower,2024-11-14 20:07:00-05:00,11.5,32.0,43.0,68.0,239.75,10.803571428571429,30.339285714285715,51.642857142857146,65.46428571428571,3.515360976135975,4.46853552024757,5.682820045857371,17.700000762939453,-0.03421638027140561,2.6122743682310468,2.628405375953505,3.0288823775638343,1.7554471544715446,1.7812242204256723,1.9722323712093532,1.6100214526509347,1.4493413338850956,1.2852599388379204
1770_upper,2024-12-03 23:56:00-05:00,5.0,9.0,19.25,23.75,194.75,3.857142857142857,8.928571428571429,19.678571428571427,42.267857142857146,1.1669730307036053,1.341875549458102,1.9287621525155108,15.760000228881836,0.0031114589520051528,0.9309153713298791,0.8872427983539095,0.9265148259561667,1.2003000750187547,1.0981468771448182,1.2102874432677762,0.8167349511503309,0.7782282282282282,0.7308234630569655
1770_lower,2024-11-14 20:11:00-05:00,11.5,32.0,43.0,68.0,239.75,10.875,30.339285714285715,51.642857142857146,65.46428571428571,3.584075956775483,4.458598244551864,5.654150482913586,17.700000762939453,-0.03421638027140561,2.6122743682310468,2.628405375953505,3.0288823775638343,1.7554471544715446,1.7812242204256723,1.9722323712093532,1.6100214526509347,1.4493413338850956,1.2852599388379204
1771_upper,2024-11-25 08:45:00-05:00,43.5,17.5,29.25,36.5,186.75,10.142857142857142,13.982142857142858,18.089285714285715,23.982142857142858,3.4903874155372807,3.1208645051647332,2.8901355176053625,18.56999969482422,-0.08114792003669358,0.9684747334260547,0.8863901559350801,0.8863901559350801,1.0407052113041224,1.0141485598787265,1.1022173405642892,0.8831159472508467,0.8928636479545372,0.872366173120729
1771_lower,2024-11-15 13:35:00-05:00,35.5,42.25,66.75,216.5,239.75,25.196428571428573,51.19642857142857,57.142857142857146,59.910714285714285,6.636475037325046,7.084066707516534,7.036017271708494,17.700000762939453,0.0114286150251115,1.310784648673272,1.3184043984994702,1.3184043984994702,1.7423740334777806,1.7618352092104133,1.7433615779182134,1.6280978845317156,1.585739300077556,1.475104405677884
1772_upper,2024-11-20 03:22:00-05:00,22.5,38.25,39.0,55.0,410.0,14.25,17.767857142857142,24.125,51.035714285714285,4.301149911641023,3.7712023830379207,3.4320251339829664,19.989999771118164,0.01112793668490264,2.0631209818819403,2.0481578183928053,2.0961995249406176,1.7990642058747075,1.751043643263757,1.9037271351946088,1.3285067873303167,1.6944978838014622,1.6309600962873807
1773_upper,2024-11-19 13:45:00-05:00,37.5,51.0,65.75,176.25,248.25,16.821428571428573,37.07142857142857,65.21428571428571,84.10714285714286,5.326706922941935,6.4935485007712375,7.4350340751642605,19.770000457763672,-0.0030256916880091467,0.9527046488853045,0.9879626034230413,0.9471664614415395,1.0694763078143144,1.0808025875146692,1.0700824666307704,1.0227964898166924,0.9961861662575657,0.9429046038815334
1774_upper,2024-11-25 09:16:00-05:00,46.5,83.75,84.0,36.5,186.75,15.178571428571429,19.071428571428573,18.142857142857142,23.232142857142858,4.288232757957761,3.76972420098357,3.3221630998222293,18.56999969482422,-0.08114792003669358,2.4929640053325435,2.4296232135123432,2.5050234427327527,1.6349910498871507,1.648009413610512,1.6776202834897185,0.8831159472508467,0.8928636479545372,0.872366173120729
1775_upper,2024-12-02 12:02:00-05:00,23.25,60.25,86.25,97.75,212.0,21.839285714285715,40.660714285714285,38.107142857142854,34.767857142857146,5.671889797305645,6.037307735271761,5.6460817702817545,16.06999969482422,-0.03657077932800035,1.086021505376344,1.085336239698656,1.1771952382927537,1.0476843447023831,1.0369301347605848,1.167870482997664,1.0950286530651556,1.052991479377624,1.146793309237623
1776_upper,2024-11-25 09:39:00-05:00,32.5,56.75,84.0,36.5,186.75,17.857142857142858,21.678571428571427,23.5,23.232142857142858,8.294112297264212,6.511704114837909,5.10880071444602,18.56999969482422,-0.08114792003669358,1.5334921653074316,1.5278221573013193,1.5397708975479596,1.6349910498871507,1.648009413610512,1.6776202834897185,0.8831159472508467,0.8928636479545372,0.872366173120729
1777_lower,2024-11-27 11:11:00-05:00,50.5,60.5,135.5,131.75,269.75,34.089285714285715,34.607142857142854,36.714285714285715,36.910714285714285,10.224243533518202,9.043480219008345,7.504943180640402,16.799999237060547,-0.04491193340956945,1.4171058869460944,1.4679492734783488,1.4953139023349566,1.2909107124655999,1.3555011505324557,1.3555011505324557,0.8583996648512777,0.9006999470249434,0.8769719550270793
1778_upper,2024-12-02 09:54:00-05:00,113.25,22.25,37.75,64.5,212.0,23.035714285714285,19.017857142857142,21.107142857142858,25.517857142857142,7.500190868222462,6.1441918842365,4.907759540121936,16.06999969482422,-0.03657077932800035,0.9148230088495575,0.9120904370203575,0.9623272727272727,1.094600114369741,1.0742403591758198,1.0875811688311687,1.1015389762462362,1.0879352360497294,1.0969058426685545
1778_lower,2024-11-27 10:37:00-05:00,53.25,96.0,116.5,131.75,269.75,32.607142857142854,28.696428571428573,33.857142857142854,29.875,8.981944687485965,7.869265532729163,6.478596460733905,16.799999237060547,-0.04491193340956945,1.1847568556616388,1.220694155749988,1.2289965810509922,0.8970121983986243,0.9481142792229922,0.9386641924282682,0.8583996648512777,0.9006999470249434,0.8769719550270793
1779_upper,2024-12-02 09:49:00-05:00,113.25,22.25,37.75,64.5,212.0,20.535714285714285,19.017857142857142,21.107142857142858,25.517857142857142,7.435978858974477,6.015529407283997,4.786955750711822,16.06999969482422,-0.03657077932800035,0.9148230088495575,0.9120904370203575,0.9623272727272727,1.094600114369741,1.0742403591758198,1.0875811688311687,1.1015389762462362,1.0879352360497294,1.0969058426685545
1780_upper,2024-12-02 08:11:00-05:00,12.0,20.75,46.5,64.5,212.0,10.839285714285714,14.232142857142858,17.857142857142858,23.267857142857142,3.0383576434226556,2.776161970967671,2.5827259573450494,16.06999969482422,-0.03657077932800035,1.2072273744803326,1.2189215369712625,1.139622641509434,1.2905569007263922,1.28315513701055,1.28315513701055,1.1015389762462362,1.0879352360497294,1.0969058426685545
1781_upper,2024-12-02 09:32:00-05:00,22.25,22.25,37.75,64.5,212.0,12.732142857142858,18.0,21.107142857142858,25.517857142857142,6.00523541295029,4.819816959364577,3.9183009247288205,16.06999969482422,-0.03657077932800035,0.9148230088495575,0.9120904370203575,0.9623272727272727,1.094600114369741,1.0742403591758198,1.0875811688311687,1.1015389762462362,1.0879352360497294,1.0969058426685545
1783_upper,2024-12-04 00:38:00-05:00,11.25,14.25,16.0,28.25,194.75,4.214285714285714,8.535714285714286,16.410714285714285,41.19642857142857,1.4397281879537387,1.4306134299966131,1.854119441997292,15.760000228881836,-0.022332542903805597,0.875,0.896500372300819,0.896500372300819,0.8267568583239384,0.8161751066592469,0.9077780070146483,1.0089686098654709,0.9664429530201343,1.0644589000591367
1784_upper,2024-12-06 09:49:00-05:00,68.5,27.75,89.5,40.75,129.75,26.125,21.267857142857142,22.964285714285715,19.821428571428573,7.084713313664202,6.10843215364856,5.001256016545643,15.6899995803833,0.0,1.1387545344619106,1.0880993645291739,1.0880993645291739,1.906216812351932,2.052062263653153,1.8524193228277697,0.773015470453969,0.768887954593231,0.7522211253701876
1784_lower,2024-12-19 21:07:00-05:00,29.25,37.25,44.5,164.0,352.0,21.982142857142858,38.232142857142854,76.33928571428571,115.53571428571429,6.130944431904195,7.191785934050092,8.797727945542645,26.32999992370605,0.42129621407986284,2.43587842846553,2.556203811746402,2.397665085735133,2.930675909878683,2.9640666082383875,2.8891166922945497,2.7945279696600296,2.8849891631126336,2.8849891631126336
1785_upper,2024-12-09 02:36:00-05:00,20.25,22.75,8.5,20.5,244.5,4.910714285714286,6.017857142857143,11.446428571428571,34.285714285714285,2.0949152172244476,1.753397617430638,1.7996831670371938,15.149999618530272,-0.034416824492983,1.3000733675715335,1.2267220491519557,1.1023328149300156,0.9609592861126603,0.7742080431363738,0.7742080431363738,0.9752650176678446,0.7359107986910678,0.6296142679386146
1785_lower,2024-12-10 15:28:00-05:00,37.25,54.25,60.0,58.5,270.25,17.25,29.5,42.69642857142857,42.19642857142857,4.620014138157389,4.784059410312925,5.045908420973169,16.549999237060547,0.09240921807139246,1.7968202640797628,1.8326862953928609,1.764079499983465,1.5203137506002882,1.5254906999903626,1.4523350766125334,1.3206395531287265,1.2623188079758236,1.17459807971419
