level_id,touched_at,reason
1574_upper,2024-02-14 15:59:00-05:00,liquidation_bar
1580_upper,2024-02-21 16:30:00-05:00,gap
1598_upper,2024-03-20 16:02:00-04:00,gap
1624_lower,2024-04-24 16:05:00-04:00,gap
1631_upper,2024-05-06 16:02:00-04:00,gap
1642_upper,2024-05-22 16:20:00-04:00,gap
1643_upper,2024-05-22 16:20:00-04:00,gap
1777_upper,2024-12-03 16:05:00-05:00,gap
1782_upper,2024-12-03 16:24:00-05:00,gap
1788_lower,2024-12-18 16:04:00-05:00,gap
1789_lower,2024-12-18 16:03:00-05:00,gap
1811_lower,2025-01-16 16:21:00-05:00,gap
1823_upper,2025-02-03 16:39:00-05:00,gap
1825_upper,2025-02-05 16:15:00-05:00,gap
1857_upper,2025-03-21 15:59:00-04:00,liquidation_bar
1857_lower,2025-03-28 16:18:00-04:00,gap
1866_lower,2025-04-03 16:29:00-04:00,gap
1874_upper,2025-04-24 16:01:00-04:00,gap
1879_upper,2025-04-24 16:01:00-04:00,gap
1880_upper,2025-04-24 16:01:00-04:00,gap
1883_upper,2025-04-30 16:24:00-04:00,gap
1947_upper,2025-07-30 16:13:00-04:00,gap
1947_lower,2025-07-31 16:18:00-04:00,gap
1982_lower,2025-10-10 16:54:00-04:00,gap
1985_lower,2025-10-10 16:50:00-04:00,gap
1990_lower,2025-10-10 16:53:00-04:00,gap
1991_lower,2025-10-10 16:50:00-04:00,gap
2056_lower,2025-12-31 15:59:00-05:00,liquidation_bar
2108_lower,2026-03-13 16:59:00-04:00,gap
2118_lower,2026-03-26 16:02:00-04:00,gap
2126_upper,2026-04-13 16:59:00-04:00,gap
2129_upper,2026-04-13 16:36:00-04:00,gap
2146_upper,2026-05-06 16:13:00-04:00,gap
2157_lower,2026-06-05 16:17:00-04:00,gap
2164_upper,2026-06-02 16:05:00-04:00,gap
