level_id,hmm3_state,hmm3_prob
569_upper,HIGH_VOL,1.0
570_upper,HIGH_VOL,1.0
571_upper,HIGH_VOL,0.9999999999993493
572_upper,HIGH_VOL,1.0
573_upper,MID_VOL,0.9993390267652137
575_upper,MID_VOL,0.9995692525992763
576_upper,MID_VOL,0.9998302836639811
577_upper,HIGH_VOL,0.9889006058276463
577_lower,HIGH_VOL,0.9999999999986623
578_upper,HIGH_VOL,0.9999999999998487
578_lower,HIGH_VOL,0.9999999999999971
579_upper,HIGH_VOL,0.7953642543324597
580_upper,HIGH_VOL,1.0
582_upper,MID_VOL,0.999887249276193
583_upper,HIGH_VOL,1.0
584_upper,MID_VOL,0.8218286776781184
585_upper,MID_VOL,0.9995647009699549
587_upper,HIGH_VOL,0.9999999982139756
588_lower,HIGH_VOL,0.9999999974120799
589_lower,HIGH_VOL,0.9999999999219542
590_upper,MID_VOL,0.7906439474013991
590_lower,HIGH_VOL,0.975772084316219
591_upper,MID_VOL,0.9994444106002343
592_upper,HIGH_VOL,0.650700593687851
593_upper,MID_VOL,0.8959629381219681
594_upper,MID_VOL,0.9997525698150677
595_lower,HIGH_VOL,0.9999999236388467
598_upper,MID_VOL,0.9985645160260493
600_upper,MID_VOL,0.9994069474399302
601_upper,LOW_VOL,0.9866568285734502
602_upper,MID_VOL,0.9985645160260493
603_upper,MID_VOL,0.9997306711581073
605_lower,MID_VOL,0.9971669431955426
607_upper,MID_VOL,0.9996161449748681
608_upper,MID_VOL,0.772426895918935
609_upper,MID_VOL,0.9990542520718327
610_upper,LOW_VOL,0.9996821576068485
611_lower,HIGH_VOL,0.9999997761711202
612_upper,MID_VOL,0.9847932338478691
612_lower,MID_VOL,0.9980944912094308
613_upper,LOW_VOL,0.9662303231921884
613_lower,MID_VOL,0.9482684240497707
614_upper,MID_VOL,0.9995292305076171
614_lower,HIGH_VOL,0.9999997761711202
615_upper,MID_VOL,0.9987217324753531
616_upper,MID_VOL,0.9751403075296615
619_upper,MID_VOL,0.9995567996522918
620_upper,LOW_VOL,0.9993704686408098
620_lower,HIGH_VOL,0.998591139286227
621_upper,MID_VOL,0.9862970889055872
621_lower,MID_VOL,0.9413461858264852
625_upper,HIGH_VOL,0.9832741337918535
626_upper,LOW_VOL,0.9850878307877514
