scale,a,b,gamma,gamma_PF,control_PF,delta_PF,gamma_avg_R,control_avg_R,delta_avg_R,gamma_max_dd_R,control_max_dd_R,gamma_net_pts,control_net_pts
S1_range30m,0.75,1.5,-0.15,0.7928,0.8092,-0.01640000000000008,-0.0717,-0.0647,-0.007000000000000006,-172.4176,-162.8347,-5336.36,-4617.9
S1_range30m,0.75,1.5,-0.3,0.8016,0.8092,-0.007600000000000051,-0.0683,-0.0647,-0.003600000000000006,-163.8384,-162.8347,-4838.02,-4617.9
S1_range30m,0.75,1.75,0.15,0.8445,0.8325,0.01200000000000001,-0.0455,-0.0495,0.0040000000000000036,-120.3121,-123.0143,-1475.68,-2456.24
S1_range30m,0.75,1.75,0.3,0.8355,0.8325,0.0030000000000000027,-0.0484,-0.0495,0.0011000000000000038,-125.9044,-123.0143,-1283.6,-2456.24
S1_range30m,0.75,1.75,-0.15,0.8172,0.8325,-0.01529999999999998,-0.0551,-0.0495,-0.005600000000000001,-131.7299,-123.0143,-3295.08,-2456.24
S1_range30m,0.75,1.75,-0.3,0.8226,0.8325,-0.00990000000000002,-0.0533,-0.0495,-0.003799999999999998,-125.2548,-123.0143,-3854.88,-2456.24
S1_range30m,0.75,2.0,0.15,0.8323,0.8381,-0.005799999999999916,-0.0448,-0.043,-0.001800000000000003,-112.0596,-108.0397,-2282.65,-1917.26
S1_range30m,0.75,2.0,0.3,0.8296,0.8381,-0.008499999999999952,-0.0455,-0.043,-0.0025000000000000022,-113.2298,-108.0397,-2129.51,-1917.26
S1_range30m,0.75,2.0,-0.15,0.8248,0.8381,-0.013299999999999979,-0.0473,-0.043,-0.004300000000000005,-113.2409,-108.0397,-3111.62,-1917.26
S1_range30m,0.75,2.0,-0.3,0.8398,0.8381,0.0017000000000000348,-0.0428,-0.043,0.0001999999999999988,-103.6506,-108.0397,-2919.0,-1917.26
S1_range30m,1.0,0.5,0.15,0.8348,0.8502,-0.01539999999999997,-0.1171,-0.1054,-0.011700000000000002,-302.4377,-270.1726,-2033.09,-1513.37
S1_range30m,1.0,0.5,0.3,0.812,0.8502,-0.0381999999999999,-0.134,-0.1054,-0.028600000000000014,-341.4487,-270.1726,-2797.63,-1513.37
S1_range30m,1.0,0.5,-0.15,0.8527,0.8502,0.0025000000000000577,-0.1043,-0.1054,0.0010999999999999899,-268.6082,-270.1726,-2228.42,-1513.37
S1_range30m,1.0,0.5,-0.3,0.863,0.8502,0.012800000000000034,-0.0969,-0.1054,0.008499999999999994,-253.4578,-270.1726,-1734.41,-1513.37
S1_range30m,1.0,0.75,0.15,0.8417,0.8601,-0.018399999999999972,-0.0929,-0.0812,-0.011700000000000002,-228.3928,-202.3039,-3083.73,-2760.38
S1_range30m,1.0,0.75,0.3,0.8336,0.8601,-0.026499999999999968,-0.0978,-0.0812,-0.016600000000000004,-243.3878,-202.3039,-2246.36,-2760.38
S1_range30m,1.0,0.75,-0.15,0.862,0.8601,0.0019000000000000128,-0.0804,-0.0812,0.0007999999999999952,-198.4338,-202.3039,-1701.86,-2760.38
S1_range30m,1.0,0.75,-0.3,0.8766,0.8601,0.01650000000000007,-0.0716,-0.0812,0.009599999999999997,-183.0654,-202.3039,-360.41,-2760.38
S1_range30m,1.0,1.0,0.15,0.8488,0.8631,-0.01429999999999998,-0.0755,-0.0676,-0.007900000000000004,-183.596,-169.9611,-3049.97,-2622.74
S1_range30m,1.0,1.0,0.3,0.8428,0.8631,-0.020299999999999985,-0.0784,-0.0676,-0.010800000000000004,-195.2958,-169.9611,-3536.08,-2622.74
S1_range30m,1.0,1.0,-0.15,0.864,0.8631,0.0009000000000000119,-0.0677,-0.0676,-0.00010000000000000286,-169.1294,-169.9611,-2134.71,-2622.74
S1_range30m,1.0,1.0,-0.3,0.8492,0.8631,-0.013900000000000023,-0.076,-0.0676,-0.008400000000000005,-185.474,-169.9611,-2292.39,-2622.74
S1_range30m,1.0,1.25,0.15,0.8565,0.8486,0.007900000000000018,-0.0618,-0.0656,0.0038000000000000048,-171.165,-160.4342,-2497.29,-4113.83
S1_range30m,1.0,1.25,0.3,0.8544,0.8486,0.005800000000000027,-0.0627,-0.0656,0.0029,-177.8745,-160.4342,-2267.02,-4113.83
S1_range30m,1.0,1.25,-0.15,0.8576,0.8486,0.009000000000000008,-0.0618,-0.0656,0.0038000000000000048,-152.0232,-160.4342,-3903.87,-4113.83
S1_range30m,1.0,1.25,-0.3,0.8406,0.8486,-0.008000000000000007,-0.0703,-0.0656,-0.004699999999999996,-170.1122,-160.4342,-4076.3,-4113.83
S1_range30m,1.0,1.5,0.15,0.8512,0.8491,0.0020999999999999908,-0.057,-0.0578,0.0007999999999999952,-148.5174,-149.0431,-1748.67,-2778.57
S1_range30m,1.0,1.5,0.3,0.8539,0.8491,0.0048000000000000265,-0.0558,-0.0578,0.001999999999999995,-149.201,-149.0431,-596.34,-2778.57
S1_range30m,1.0,1.5,-0.15,0.8448,0.8491,-0.0042999999999999705,-0.0602,-0.0578,-0.0023999999999999994,-147.6887,-149.0431,-3733.74,-2778.57
S1_range30m,1.0,1.5,-0.3,0.8376,0.8491,-0.011499999999999955,-0.0634,-0.0578,-0.005600000000000001,-146.9386,-149.0431,-4041.63,-2778.57
S1_range30m,1.0,1.75,0.15,0.8859,0.8827,0.0031999999999999806,-0.0381,-0.0392,0.0010999999999999968,-108.682,-106.3129,461.6,-412.98
S1_range30m,1.0,1.75,0.3,0.8892,0.8827,0.00649999999999995,-0.0368,-0.0392,0.0023999999999999994,-111.436,-106.3129,866.57,-412.98
S1_range30m,1.0,1.75,-0.15,0.8793,0.8827,-0.0034000000000000696,-0.0408,-0.0392,-0.0016000000000000042,-103.7563,-106.3129,-1336.06,-412.98
S1_range30m,1.0,1.75,-0.3,0.8714,0.8827,-0.011300000000000088,-0.0439,-0.0392,-0.004700000000000003,-106.5737,-106.3129,-2131.6,-412.98
S1_range30m,1.0,2.0,0.15,0.8815,0.894,-0.012500000000000067,-0.036,-0.0318,-0.004199999999999995,-97.1606,-87.8984,-402.33,24.98
S1_range30m,1.0,2.0,0.3,0.8836,0.894,-0.010399999999999965,-0.0352,-0.0318,-0.0034000000000000002,-101.4585,-87.8984,215.8,24.98
S1_range30m,1.0,2.0,-0.15,0.8883,0.894,-0.005700000000000038,-0.034,-0.0318,-0.0022000000000000006,-87.942,-87.8984,-859.14,24.98
S1_range30m,1.0,2.0,-0.3,0.8844,0.894,-0.009600000000000053,-0.0355,-0.0318,-0.003699999999999995,-90.3498,-87.8984,-768.73,24.98
S1_range30m,1.25,0.5,0.15,0.8395,0.8192,0.020299999999999985,-0.1201,-0.1361,0.016,-312.5943,-345.2599,-2542.46,-3452.0
S1_range30m,1.25,0.5,0.3,0.8257,0.8192,0.00649999999999995,-0.1304,-0.1361,0.005700000000000011,-335.3669,-345.2599,-3241.83,-3452.0
S1_range30m,1.25,0.5,-0.15,0.8255,0.8192,0.006299999999999972,-0.1319,-0.1361,0.004200000000000009,-336.4773,-345.2599,-4020.48,-3452.0
S1_range30m,1.25,0.5,-0.3,0.8348,0.8192,0.015599999999999947,-0.1248,-0.1361,0.011300000000000004,-319.2652,-345.2599,-3642.51,-3452.0
S1_range30m,1.25,0.75,0.15,0.8498,0.8476,0.0021999999999999797,-0.0943,-0.0957,0.0013999999999999985,-234.512,-243.2796,-3482.5,-4159.61
S1_range30m,1.25,0.75,0.3,0.846,0.8476,-0.0016000000000000458,-0.0965,-0.0957,-0.000800000000000009,-247.7276,-243.2796,-2847.4,-4159.61
S1_range30m,1.25,0.75,-0.15,0.8485,0.8476,0.0009000000000000119,-0.0953,-0.0957,0.0003999999999999976,-237.0515,-243.2796,-3650.86,-4159.61
S1_range30m,1.25,0.75,-0.3,0.8522,0.8476,0.0045999999999999375,-0.0929,-0.0957,0.002799999999999997,-230.3535,-243.2796,-2836.2,-4159.61
S1_range30m,1.25,1.0,0.15,0.8671,0.8503,0.016800000000000037,-0.0712,-0.0809,0.0097,-180.7416,-203.754,-3175.22,-4018.34
S1_range30m,1.25,1.0,0.3,0.8586,0.8503,0.008300000000000085,-0.0758,-0.0809,0.005099999999999993,-195.1318,-203.754,-4062.42,-4018.34
S1_range30m,1.25,1.0,-0.15,0.8584,0.8503,0.008100000000000107,-0.0767,-0.0809,0.004199999999999995,-196.8685,-203.754,-3548.55,-4018.34
S1_range30m,1.25,1.0,-0.3,0.8552,0.8503,0.0049000000000000155,-0.0789,-0.0809,0.0020000000000000018,-197.6032,-203.754,-3583.0,-4018.34
S1_range30m,1.25,1.25,0.15,0.8575,0.8232,0.0343,-0.0672,-0.0852,0.018000000000000002,-182.769,-204.5219,-2989.85,-5778.06
S1_range30m,1.25,1.25,0.3,0.8598,0.8232,0.036599999999999966,-0.0658,-0.0852,0.0194,-182.3476,-204.5219,-3412.54,-5778.06
