variant,n,net,pf,maxdd,avg,wr,twr,tp,sl,be,cut,year
touchbar_adverse_stop_first,151,2646.717484334258,1.6942176090035916,-460.0830182796999,17.527930359829526,45.6953642384106,62.857142857142854,66,39,36,10,2025
touchbar_adverse_stop_first,69,2936.8062253813987,3.2420082668063968,-312.375,42.562409063498535,53.62318840579711,75.0,33,11,17,8,2026
no_same_minute_reentry,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
no_same_minute_reentry,124,-243.44038275720595,0.8160411098019527,-472.04102584820066,-1.9632288932032738,32.25806451612903,42.5,34,46,28,15,2019
no_same_minute_reentry,139,838.245863834738,1.3026866592432902,-632.6200673522308,6.030545782983727,32.37410071942446,48.837209302325576,42,44,43,10,2020
no_same_minute_reentry,132,805.0120445349203,1.3119616873252544,-410.2342058528084,6.098576094961517,40.909090909090914,58.42696629213483,52,37,29,14,2021
no_same_minute_reentry,128,1474.4105056743501,1.455770815342189,-479.9567476103002,11.51883207558086,39.0625,56.97674418604651,49,37,36,6,2022
no_same_minute_reentry,123,520.4753275068379,1.176331506557461,-724.5988499692976,4.231506727697869,40.65040650406504,57.89473684210527,44,32,30,17,2023
no_same_minute_reentry,123,78.50613253521806,1.0221320221391765,-605.9285890308165,0.6382612401237241,37.39837398373984,48.837209302325576,42,44,24,13,2024
no_same_minute_reentry,147,2415.583640308396,1.634834841346915,-484.927456947531,16.432541770805415,44.89795918367347,63.725490196078425,65,37,36,9,2025
no_same_minute_reentry,68,2876.0562253813987,3.195630674362142,-312.375,42.29494449090292,52.94117647058824,74.4186046511628,32,11,17,8,2026
expiry_exclude_creation_ts,131,11.62022082310341,1.007960528460659,-362.6077046449236,0.08870397574888099,38.93129770992366,55.81395348837209,48,38,35,10,2018
expiry_exclude_creation_ts,125,-227.31538275720595,0.8282261756930213,-472.04102584820066,-1.8185230620576476,32.800000000000004,43.20987654320987,35,46,28,15,2019
expiry_exclude_creation_ts,139,838.245863834738,1.3026866592432902,-632.6200673522308,6.030545782983727,32.37410071942446,48.837209302325576,42,44,43,10,2020
expiry_exclude_creation_ts,132,805.0120445349203,1.3119616873252544,-410.2342058528084,6.098576094961517,40.909090909090914,58.42696629213483,52,37,29,14,2021
