n,mean,p25,p50,p60,p70,p75,p80,p90,p95,group,metric
386,-42.45866066025373,-59.499284925671645,-32.03077262066654,-23.709511919896613,-17.187290527379446,-15.050239770208464,-11.258527286835488,-5.080459029432859,-1.9973428712974055,year_2019,mae
398,-89.2478821354953,-117.46724971781123,-61.809426020604405,-44.33896261656847,-34.032728762128876,-29.21093825775006,-22.43004009240754,-9.080914067409866,-3.9198076322793103,year_2020,mae
378,-87.27645144981163,-123.2637051012207,-56.082175883552736,-43.308725568839144,-29.151722239660742,-23.66431301837292,-17.792790711415716,-8.229875720788906,-2.4748477387169308,year_2021,mae
398,-115.11195377682847,-167.1474700226495,-89.44373977800751,-64.18568567598523,-44.69882951724176,-33.9768467756503,-25.386319882539816,-13.59896857772419,-6.291891203572961,year_2022,mae
398,-73.13274435901812,-107.431436668021,-54.30205580490474,-41.786458816261444,-25.955936683931764,-19.491290831923834,-15.628814038321433,-7.27886054867522,-3.7945244987404356,year_2023,mae
403,-120.30904683744161,-172.25492318535726,-81.55264941174028,-61.40815112908677,-41.983382178933255,-34.10298391505421,-26.241046277146957,-14.231558790424577,-6.11241087912059,year_2024,mae
392,-146.77626468923478,-198.04944462078674,-100.4777402570653,-72.77949633521494,-48.47020771091666,-34.13871133874545,-27.922903210548977,-11.456867406262244,-3.198700429998464,year_2025,mae
172,-171.86607858581132,-211.90080535904053,-110.83108617651305,-79.66486679608644,-52.702219809444074,-43.40752205825902,-31.790211233677834,-14.76700771368196,-4.081275940320857,year_2026,mae
3159,92.23193362661361,20.528529865969173,54.22526575708071,74.15720641343977,102.69651952395215,124.99117965591904,147.38312083733473,228.68642890316127,302.873074480807,ex_2026,mfe
3331,98.2194424526307,21.73209067689004,56.805033876909874,77.24470094923527,108.12104736880246,131.11892228229772,155.0611950489747,242.56016082521452,336.01367935391136,overall,mfe
624,81.54058949315147,15.86539110959302,46.087461115736005,64.99435457339497,87.1873862142752,102.24000854957217,132.71951075642,219.46333134734368,275.3762381134043,rvol_quintile_1,mfe
622,75.18418472178921,17.53557295009705,48.60561050865317,61.38397945137803,83.32443948101535,96.3020584243909,111.8085788278102,184.4874028319926,249.12978063478909,rvol_quintile_2,mfe
622,87.51951750734027,21.85794926501194,55.59995672976174,72.84351528887781,106.53431806603966,121.28100968437592,138.9637287290847,207.0843733059781,292.56888255242063,rvol_quintile_3,mfe
623,94.28244594474575,22.02845437688393,58.02199113430106,81.47829278493737,109.22313642232693,135.41461783692193,150.91625060879014,218.38579251718986,301.338945841342,rvol_quintile_4,mfe
623,122.24210872565442,31.245115879068635,73.22478754548138,97.15208522883476,140.72885006911704,163.23801531118716,187.58445294833876,290.45233865993316,405.76954156613965,rvol_quintile_5,mfe
1557,108.845588742856,28.642401058401447,66.06234433526879,89.99660559399162,123.50555252131738,144.03075384885415,167.24062686650294,255.4444394859742,362.1287261072964,side_lower,mfe
1774,88.89311225314883,17.549960426145844,49.83764534939564,67.18665677019307,96.29621092161722,116.65938939055332,142.10617791615806,229.73076687549224,305.7571518637821,side_upper,mfe
667,44.49505701500486,10.793023494188674,31.86682908907096,43.85668282471451,52.98304488367284,59.54836011045472,71.12298220182565,102.0299998417122,136.1364926562299,vol_quintile_1,mfe
666,78.50753983838736,19.57507425878521,54.08259183165592,71.1265955734525,89.82571991275016,105.30832075716307,128.72759422026138,186.84015385715747,236.53854754874197,vol_quintile_2,mfe
667,86.53007444606415,22.612364112490468,56.75666616942908,81.82895973127816,109.34797005090658,128.2435273802521,145.2453281721464,218.0858504365031,264.025548893989,vol_quintile_3,mfe
665,101.64143662834938,28.718960731061088,67.23177857047085,94.5123746595407,131.873609725005,150.04858749412233,169.85547417573147,239.7208679719862,290.98553951776404,vol_quintile_4,mfe
666,180.026461313756,42.75321980905392,111.57791028265547,162.27847729426685,220.6608586538359,270.29692499723114,314.9803656158183,439.11041844659576,535.9435290612273,vol_quintile_5,mfe
406,45.16036593847835,11.247946154101555,31.69406064057557,45.06394723947051,54.73981893373548,59.91033536764007,71.82727737269488,102.3522742973414,139.00229010913517,year_2018,mfe
386,41.1099921894872,12.284760004497002,32.11503969698106,41.788906163386855,50.50343228442944,54.78655700028594,60.69689207841111,83.68744501145375,107.08758187077432,year_2019,mfe
398,107.35827364339917,24.249932428011107,64.97606447489125,91.72290672354794,128.6492664563313,142.53049120578726,164.90413411318733,273.22467830044974,355.1989031416629,year_2020,mfe
378,82.09656442320424,15.82063102039183,53.79167593636157,77.33951566516515,97.93694275619308,118.0192232139807,138.29287533975221,190.3401791205848,250.2753732583801,year_2021,mfe
398,127.10224220307103,33.67244086518485,75.33062118885391,110.9875843996102,156.96032857081153,185.93332827408904,215.78120198794315,302.013834261664,406.6942290207339,year_2022,mfe
398,82.9759239826904,20.887938595116793,56.75,80.67878314461122,103.48109781089022,116.29234927713652,139.9464938933067,208.0117580398221,254.9039345721142,year_2023,mfe
403,97.38698293923332,26.1161757651862,65.12894021355896,82.87380693452431,120.94640849676067,132.77573732715973,146.83468687208952,223.53516708193422,293.1524035362599,year_2024,mfe
392,154.43355673933667,45.09150511981261,109.82442646833624,149.76182693969167,182.03467653886324,211.0643900405821,250.84695572868588,337.68689540316086,473.50730784538007,year_2025,mfe
172,208.18770048395612,63.67079156153977,137.64549804046328,184.59308367259072,230.90047311975135,272.4858923835254,349.15735621680807,470.18078055172265,641.2694305298301,year_2026,mfe
