level_id,touched_at,side,level,open,high,low,close
1872:upper,2025-04-13 18:00:00-04:00,upper,19018.330734952433,19225.0,19250.0,19063.0,19104.5
1878:upper,2025-04-22 18:00:00-04:00,upper,18579.626648265432,18646.0,18734.75,18644.0,18680.5
1917:lower,2025-06-17 19:54:00-04:00,lower,21741.51368658432,21697.5,21697.5,21682.75,21688.25
1918:lower,2025-06-17 19:54:00-04:00,lower,21823.793626264163,21697.5,21697.5,21682.75,21688.25
1919:lower,2025-06-19 06:09:00-04:00,lower,21695.16034984777,21608.0,21609.75,21608.0,21609.75
1921:lower,2025-06-22 18:00:00-04:00,lower,21684.07652038723,21648.25,21675.25,21566.75,21664.25
1944:upper,2025-07-27 18:00:00-04:00,upper,23478.925830070326,23520.0,23558.25,23515.0,23535.25
1976:upper,2025-09-14 18:29:00-04:00,upper,24186.124086410302,24359.75,24360.25,24359.0,24360.0
1979:upper,2025-09-14 18:29:00-04:00,upper,24206.15384415444,24359.75,24360.25,24359.0,24360.0
1980:upper,2025-09-14 18:29:00-04:00,upper,24197.77569131601,24359.75,24360.25,24359.0,24360.0
1981:upper,2025-09-14 18:29:00-04:00,upper,24252.674782796334,24359.75,24360.25,24359.0,24360.0
1983:lower,2025-09-16 16:41:00-04:00,lower,24345.279749885696,24303.5,24304.0,24301.75,24302.25
2001:upper,2025-10-26 18:00:00-04:00,upper,25581.71979109697,25723.5,25768.25,25709.25,25724.0
2009:upper,2025-10-26 18:00:00-04:00,upper,25579.835764917516,25723.5,25768.25,25709.25,25724.0
2023:upper,2025-12-09 02:44:00-05:00,upper,25894.90770751897,25939.0,25939.0,25939.0,25939.0
2038:upper,2025-12-09 02:44:00-05:00,upper,25871.162395945892,25939.0,25939.0,25939.0,25939.0
2043:upper,2025-12-11 23:18:00-05:00,upper,25892.79147830685,25916.0,25917.0,25916.0,25916.0
2044:upper,2025-12-11 23:18:00-05:00,upper,25906.252331580763,25916.0,25917.0,25916.0,25916.0
2036:lower,2025-12-15 16:19:00-05:00,lower,25092.511186931348,25089.75,25092.5,25089.5,25091.75
2046:lower,2025-12-15 16:19:00-05:00,lower,25096.208397431896,25089.75,25092.5,25089.5,25091.75
2035:lower,2025-12-15 21:35:00-05:00,lower,25072.881355830254,24914.0,24918.0,24909.75,24915.0
2037:lower,2025-12-15 21:35:00-05:00,lower,24947.50199731118,24914.0,24918.0,24909.75,24915.0
2047:lower,2025-12-15 21:35:00-05:00,lower,24947.753025969778,24914.0,24918.0,24909.75,24915.0
2034:lower,2025-12-15 22:39:00-05:00,lower,24885.449146593543,24880.25,24880.25,24875.5,24875.75
2048:upper,2025-12-21 18:00:00-05:00,upper,25625.611573575086,25635.25,25668.0,25635.25,25657.25
2122:upper,2026-04-07 18:00:00-04:00,upper,24485.06856019261,24514.0,24666.0,24502.5,24601.0
2128:lower,2026-04-12 18:00:00-04:00,lower,25022.52684328578,24980.0,24990.25,24904.5,24966.75
