candidate,cutoff_minutes,skip_counts,n_trades,net_pts,total_R,PF,avg_R,max_dd_pts,max_dd_R,true_tp_win_rate,lower_n,lower_net_pts,upper_n,upper_net_pts,ex_2026_net_pts,ex_2026_PF,ex_2026_total_R,yearly_json
contig_BC,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1213, ""blocked_regime"": 26, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 6, ""same_bar_reentry"": 0}",29,499.09,9.8067,1.9995,0.3382,-197.75,-2.8,0.5172,15,374.4,14,124.69,437.11,2.0449,9.2421,"{""2018"": {""n"": 8, ""net_pts"": 124.76, ""PF"": 6.7787, ""avg_R"": 0.4767, ""total_R"": 3.8139}, ""2020"": {""n"": 14, ""net_pts"": 40.1, ""PF"": 1.1011, ""avg_R"": 0.1232, ""total_R"": 1.7247}, ""2023"": {""n"": 3, ""net_pts"": 272.25, ""PF"": Infinity, ""avg_R"": 1.2345, ""total_R"": 3.7035}, ""2026"": {""n"": 4, ""net_pts"": 61.97, ""PF"": 1.7651, ""avg_R"": 0.1412, ""total_R"": 0.5646}}"
contig_CD,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1150, ""blocked_regime"": 44, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 17, ""same_bar_reentry"": 0}",63,44.39,3.9116,1.0328,0.0621,-399.57,-4.9329,0.3968,34,409.02,29,-364.64,144.89,1.1198,5.5116,"{""2018"": {""n"": 18, ""net_pts"": 33.09, ""PF"": 1.1353, ""avg_R"": 0.0836, ""total_R"": 1.5057}, ""2020"": {""n"": 22, ""net_pts"": -128.4, ""PF"": 0.817, ""avg_R"": 0.0417, ""total_R"": 0.9165}, ""2023"": {""n"": 17, ""net_pts"": 240.2, ""PF"": 1.9133, ""avg_R"": 0.1817, ""total_R"": 3.0894}, ""2026"": {""n"": 6, ""net_pts"": -100.5, ""PF"": 0.3116, ""avg_R"": -0.2667, ""total_R"": -1.6}}"
contig_DE,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1146, ""blocked_regime"": 42, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 25, ""same_bar_reentry"": 0}",61,-391.06,-5.7268,0.7147,-0.0939,-531.69,-8.5005,0.2951,33,-22.8,28,-368.26,-284.01,0.7681,-4.0268,"{""2018"": {""n"": 16, ""net_pts"": -62.07, ""PF"": 0.8023, ""avg_R"": -0.0954, ""total_R"": -1.5263}, ""2020"": {""n"": 22, ""net_pts"": -215.59, ""PF"": 0.6449, ""avg_R"": -0.1, ""total_R"": -2.1998}, ""2023"": {""n"": 18, ""net_pts"": -6.35, ""PF"": 0.9791, ""avg_R"": -0.0167, ""total_R"": -0.3007}, ""2026"": {""n"": 5, ""net_pts"": -107.05, ""PF"": 0.2668, ""avg_R"": -0.34, ""total_R"": -1.7}}"
contig_EF,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1206, ""blocked_regime"": 16, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 11, ""same_bar_reentry"": 1}",40,306.2,1.7738,1.4128,0.0443,-165.12,-3.288,0.35,22,304.57,18,1.62,68.7,1.1052,-0.1907,"{""2018"": {""n"": 10, ""net_pts"": -23.6, ""PF"": 0.8541, ""avg_R"": -0.0461, ""total_R"": -0.4613}, ""2020"": {""n"": 13, ""net_pts"": 48.37, ""PF"": 1.1513, ""avg_R"": -0.0918, ""total_R"": -1.1933}, ""2023"": {""n"": 11, ""net_pts"": 43.93, ""PF"": 1.2565, ""avg_R"": 0.1331, ""total_R"": 1.4638}, ""2026"": {""n"": 6, ""net_pts"": 237.5, ""PF"": 3.6685, ""avg_R"": 0.3274, ""total_R"": 1.9646}}"
contig_FG,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1186, ""blocked_regime"": 29, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 7, ""same_bar_reentry"": 1}",51,295.07,3.6765,1.3051,0.0721,-447.85,-6.6934,0.3725,29,275.43,22,19.65,-212.3,0.7582,-1.8661,"{""2018"": {""n"": 13, ""net_pts"": 1.93, ""PF"": 1.0092, ""avg_R"": 0.079, ""total_R"": 1.0273}, ""2020"": {""n"": 12, ""net_pts"": -240.28, ""PF"": 0.3106, ""avg_R"": -0.3017, ""total_R"": -3.6205}, ""2023"": {""n"": 16, ""net_pts"": 26.05, ""PF"": 1.0815, ""avg_R"": 0.0454, ""total_R"": 0.7271}, ""2026"": {""n"": 10, ""net_pts"": 507.38, ""PF"": 6.7008, ""avg_R"": 0.5543, ""total_R"": 5.5426}}"
contig_GH,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1198, ""blocked_regime"": 26, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 10, ""same_bar_reentry"": 0}",40,643.28,10.2758,1.8803,0.2569,-215.3,-3.9,0.5,20,164.95,20,478.33,156.8,1.2146,4.1722,"{""2018"": {""n"": 9, ""net_pts"": 90.25, ""PF"": 1.6481, ""avg_R"": 0.2856, ""total_R"": 2.57}, ""2020"": {""n"": 8, ""net_pts"": 14.05, ""PF"": 1.0714, ""avg_R"": 0.1014, ""total_R"": 0.8108}, ""2023"": {""n"": 16, ""net_pts"": 52.5, ""PF"": 1.133, ""avg_R"": 0.0495, ""total_R"": 0.7914}, ""2026"": {""n"": 7, ""net_pts"": 486.48, ""PF"": Infinity, ""avg_R"": 0.8719, ""total_R"": 6.1035}}"
contig_HI,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 992, ""blocked_regime"": 32, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 56, ""same_bar_reentry"": 5}",189,1587.43,16.5788,1.4344,0.0877,-358.19,-9.6779,0.4392,90,1003.73,99,583.69,1198.64,1.3962,12.0692,"{""2018"": {""n"": 52, ""net_pts"": 93.05, ""PF"": 1.1126, ""avg_R"": -0.0087, ""total_R"": -0.4539}, ""2020"": {""n"": 45, ""net_pts"": 476.07, ""PF"": 1.4928, ""avg_R"": 0.036, ""total_R"": 1.6197}, ""2023"": {""n"": 64, ""net_pts"": 629.53, ""PF"": 1.5107, ""avg_R"": 0.1704, ""total_R"": 10.9034}, ""2026"": {""n"": 28, ""net_pts"": 388.79, ""PF"": 1.6183, ""avg_R"": 0.1611, ""total_R"": 4.5095}}"
contig_ABC,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1053, ""blocked_regime"": 89, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 34, ""same_bar_reentry"": 3}",95,239.62,4.9102,1.092,0.0517,-693.35,-8.6273,0.3895,43,243.72,52,-4.11,-52.73,0.9697,0.7451,"{""2018"": {""n"": 23, ""net_pts"": -9.46, ""PF"": 0.9695, ""avg_R"": -0.0611, ""total_R"": -1.4045}, ""2020"": {""n"": 44, ""net_pts"": -351.84, ""PF"": 0.7432, ""avg_R"": -0.0479, ""total_R"": -2.1078}, ""2023"": {""n"": 8, ""net_pts"": 308.57, ""PF"": 6.1429, ""avg_R"": 0.5322, ""total_R"": 4.2574}, ""2026"": {""n"": 20, ""net_pts"": 292.35, ""PF"": 1.339, ""avg_R"": 0.2083, ""total_R"": 4.1651}}"
contig_BCD,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1125, ""blocked_regime"": 56, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 20, ""same_bar_reentry"": 0}",73,136.01,5.501,1.0909,0.0754,-405.2,-5.092,0.3836,40,353.37,33,-217.36,181.09,1.1427,6.6363,"{""2018"": {""n"": 20, ""net_pts"": 54.69, ""PF"": 1.2236, ""avg_R"": 0.1169, ""total_R"": 2.3387}, ""2020"": {""n"": 27, ""net_pts"": -113.8, ""PF"": 0.8506, ""avg_R"": 0.0448, ""total_R"": 1.2083}, ""2023"": {""n"": 17, ""net_pts"": 240.2, ""PF"": 1.9133, ""avg_R"": 0.1817, ""total_R"": 3.0894}, ""2026"": {""n"": 9, ""net_pts"": -45.08, ""PF"": 0.8014, ""avg_R"": -0.1262, ""total_R"": -1.1354}}"
contig_CDE,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1110, ""blocked_regime"": 56, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 31, ""same_bar_reentry"": 0}",77,81.31,3.6957,1.0491,0.048,-382.32,-5.5112,0.3896,41,398.1,36,-316.79,181.81,1.1205,5.2957,"{""2018"": {""n"": 22, ""net_pts"": 41.09, ""PF"": 1.1224, ""avg_R"": 0.0661, ""total_R"": 1.4547}, ""2020"": {""n"": 28, ""net_pts"": -125.18, ""PF"": 0.856, ""avg_R"": 0.0157, ""total_R"": 0.4382}, ""2023"": {""n"": 21, ""net_pts"": 265.9, ""PF"": 1.8761, ""avg_R"": 0.162, ""total_R"": 3.4028}, ""2026"": {""n"": 6, ""net_pts"": -100.5, ""PF"": 0.3116, ""avg_R"": -0.2667, ""total_R"": -1.6}}"
contig_DEF,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1118, ""blocked_regime"": 46, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 30, ""same_bar_reentry"": 1}",79,-361.29,-4.7843,0.7819,-0.0606,-568.71,-8.8693,0.3038,42,115.45,37,-476.74,-283.64,0.8005,-3.5059,"{""2018"": {""n"": 20, ""net_pts"": -52.65, ""PF"": 0.8446, ""avg_R"": -0.0518, ""total_R"": -1.0365}, ""2020"": {""n"": 27, ""net_pts"": -232.69, ""PF"": 0.6713, ""avg_R"": -0.1193, ""total_R"": -3.2203}, ""2023"": {""n"": 23, ""net_pts"": 1.7, ""PF"": 1.0045, ""avg_R"": 0.0326, ""total_R"": 0.7509}, ""2026"": {""n"": 9, ""net_pts"": -77.65, ""PF"": 0.6696, ""avg_R"": -0.1421, ""total_R"": -1.2785}}"
contig_EFG,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1146, ""blocked_regime"": 41, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 18, ""same_bar_reentry"": 1}",68,405.77,3.946,1.3061,0.058,-295.3,-5.9103,0.3676,38,225.03,30,180.75,-97.95,0.9208,-1.6665,"{""2018"": {""n"": 17, ""net_pts"": -29.1, ""PF"": 0.9033, ""avg_R"": 0.0051, ""total_R"": 0.0875}, ""2020"": {""n"": 18, ""net_pts"": -130.78, ""PF"": 0.7468, ""avg_R"": -0.1607, ""total_R"": -2.8933}, ""2023"": {""n"": 22, ""net_pts"": 61.93, ""PF"": 1.1477, ""avg_R"": 0.0518, ""total_R"": 1.1393}, ""2026"": {""n"": 11, ""net_pts"": 503.73, ""PF"": 6.6598, ""avg_R"": 0.5102, ""total_R"": 5.6125}}"
contig_FGH,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1170, ""blocked_regime"": 30, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 11, ""same_bar_reentry"": 1}",62,757.02,10.5553,1.6797,0.1702,-276.4,-4.386,0.4355,33,519.93,29,237.1,29.4,1.0287,2.5572,"{""2018"": {""n"": 15, ""net_pts"": 97.68, ""PF"": 1.4651, ""avg_R"": 0.2032, ""total_R"": 3.0485}, ""2020"": {""n"": 14, ""net_pts"": -128.83, ""PF"": 0.6304, ""avg_R"": -0.1667, ""total_R"": -2.3344}, ""2023"": {""n"": 21, ""net_pts"": 60.55, ""PF"": 1.1299, ""avg_R"": 0.0878, ""total_R"": 1.8431}, ""2026"": {""n"": 12, ""net_pts"": 727.63, ""PF"": 9.1756, ""avg_R"": 0.6665, ""total_R"": 7.9981}}"
contig_GHI,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 932, ""blocked_regime"": 57, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 65, ""same_bar_reentry"": 6}",214,1699.13,20.378,1.4095,0.0952,-387.19,-9.1665,0.4393,103,797.81,111,901.32,1044.12,1.2966,12.2204,"{""2018"": {""n"": 58, ""net_pts"": 76.8, ""PF"": 1.0822, ""avg_R"": 0.0139, ""total_R"": 0.8082}, ""2020"": {""n"": 49, ""net_pts"": 263.04, ""PF"": 1.2262, ""avg_R"": -0.0034, ""total_R"": -0.1667}, ""2023"": {""n"": 74, ""net_pts"": 704.28, ""PF"": 1.4946, ""avg_R"": 0.1565, ""total_R"": 11.5789}, ""2026"": {""n"": 33, ""net_pts"": 655.01, ""PF"": 2.0417, ""avg_R"": 0.2472, ""total_R"": 8.1575}}"
contig_ABCD,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 965, ""blocked_regime"": 119, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 50, ""same_bar_reentry"": 5}",135,39.12,3.5045,1.0114,0.026,-801.27,-9.1722,0.3704,64,385.27,71,-346.16,-215.93,0.9135,0.0394,"{""2018"": {""n"": 33, ""net_pts"": -56.21, ""PF"": 0.889, ""avg_R"": -0.06, ""total_R"": -1.9798}, ""2020"": {""n"": 56, ""net_pts"": -436.24, ""PF"": 0.7381, ""avg_R"": -0.029, ""total_R"": -1.6242}, ""2023"": {""n"": 22, ""net_pts"": 276.52, ""PF"": 1.8561, ""avg_R"": 0.1656, ""total_R"": 3.6433}, ""2026"": {""n"": 24, ""net_pts"": 255.05, ""PF"": 1.2717, ""avg_R"": 0.1444, ""total_R"": 3.4651}}"
contig_BCDE,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1085, ""blocked_regime"": 68, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 34, ""same_bar_reentry"": 0}",87,172.94,5.2851,1.0963,0.0607,-387.95,-5.6703,0.3793,47,342.45,40,-169.51,218.01,1.139,6.4204,"{""2018"": {""n"": 24, ""net_pts"": 62.69, ""PF"": 1.1868, ""avg_R"": 0.0953, ""total_R"": 2.2877}, ""2020"": {""n"": 33, ""net_pts"": -110.57, ""PF"": 0.8811, ""avg_R"": 0.0221, ""total_R"": 0.73}, ""2023"": {""n"": 21, ""net_pts"": 265.9, ""PF"": 1.8761, ""avg_R"": 0.162, ""total_R"": 3.4028}, ""2026"": {""n"": 9, ""net_pts"": -45.08, ""PF"": 0.8014, ""avg_R"": -0.1262, ""total_R"": -1.1354}}"
contig_CDEF,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1082, ""blocked_regime"": 60, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 36, ""same_bar_reentry"": 1}",95,111.08,4.6382,1.0572,0.0488,-433.48,-7.1169,0.3789,50,536.35,45,-425.27,182.18,1.1068,5.8166,"{""2018"": {""n"": 26, ""net_pts"": 50.51, ""PF"": 1.1402, ""avg_R"": 0.0748, ""total_R"": 1.9444}, ""2020"": {""n"": 33, ""net_pts"": -142.28, ""PF"": 0.8534, ""avg_R"": -0.0176, ""total_R"": -0.5823}, ""2023"": {""n"": 26, ""net_pts"": 273.95, ""PF"": 1.7305, ""avg_R"": 0.1713, ""total_R"": 4.4544}, ""2026"": {""n"": 10, ""net_pts"": -71.1, ""PF"": 0.6974, ""avg_R"": -0.1178, ""total_R"": -1.1785}}"
contig_DEFG,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1058, ""blocked_regime"": 71, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 37, ""same_bar_reentry"": 1}",107,-261.71,-2.6121,0.8832,-0.0244,-749.66,-10.9764,0.3271,58,35.9,49,-297.61,-450.29,0.7755,-4.9817,"{""2018"": {""n"": 27, ""net_pts"": -58.15, ""PF"": 0.8783, ""avg_R"": -0.0181, ""total_R"": -0.4878}, ""2020"": {""n"": 32, ""net_pts"": -411.84, ""PF"": 0.5447, ""avg_R"": -0.1538, ""total_R"": -4.9203}, ""2023"": {""n"": 34, ""net_pts"": 19.7, ""PF"": 1.0316, ""avg_R"": 0.0125, ""total_R"": 0.4264}, ""2026"": {""n"": 14, ""net_pts"": 188.58, ""PF"": 1.8024, ""avg_R"": 0.1693, ""total_R"": 2.3695}}"
contig_EFGH,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1130, ""blocked_regime"": 42, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 22, ""same_bar_reentry"": 1}",79,867.72,10.8249,1.5893,0.137,-288.78,-4.8,0.4177,42,469.53,37,398.2,143.75,1.1039,2.7568,"{""2018"": {""n"": 19, ""net_pts"": 66.65, ""PF"": 1.2214, ""avg_R"": 0.111, ""total_R"": 2.1088}, ""2020"": {""n"": 20, ""net_pts"": -19.33, ""PF"": 0.9626, ""avg_R"": -0.0804, ""total_R"": -1.6072}, ""2023"": {""n"": 27, ""net_pts"": 96.43, ""PF"": 1.1704, ""avg_R"": 0.0835, ""total_R"": 2.2552}, ""2026"": {""n"": 13, ""net_pts"": 723.98, ""PF"": 9.1346, ""avg_R"": 0.6206, ""total_R"": 8.0681}}"
contig_FGHI,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 904, ""blocked_regime"": 61, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 68, ""same_bar_reentry"": 7}",234,1824.12,21.2662,1.4089,0.0909,-425.43,-9.7806,0.4274,115,1092.78,119,731.33,927.96,1.2479,11.2141,"{""2018"": {""n"": 64, ""net_pts"": 84.23, ""PF"": 1.0838, ""avg_R"": 0.0201, ""total_R"": 1.2867}, ""2020"": {""n"": 53, ""net_pts"": 131.41, ""PF"": 1.1057, ""avg_R"": -0.051, ""total_R"": -2.7032}, ""2023"": {""n"": 79, ""net_pts"": 712.33, ""PF"": 1.4763, ""avg_R"": 0.1599, ""total_R"": 12.6306}, ""2026"": {""n"": 38, ""net_pts"": 896.16, ""PF"": 2.2485, ""avg_R"": 0.2645, ""total_R"": 10.0521}}"
contig_ABCDE,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 925, ""blocked_regime"": 131, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 64, ""same_bar_reentry"": 5}",149,76.04,3.2886,1.0204,0.0221,-728.55,-8.7169,0.3691,71,374.35,78,-298.31,-179.01,0.9359,-0.1765,"{""2018"": {""n"": 37, ""net_pts"": -48.21, ""PF"": 0.9193, ""avg_R"": -0.0549, ""total_R"": -2.0308}, ""2020"": {""n"": 62, ""net_pts"": -433.02, ""PF"": 0.7639, ""avg_R"": -0.0339, ""total_R"": -2.1025}, ""2023"": {""n"": 26, ""net_pts"": 302.23, ""PF"": 1.8314, ""avg_R"": 0.1522, ""total_R"": 3.9567}, ""2026"": {""n"": 24, ""net_pts"": 255.05, ""PF"": 1.2717, ""avg_R"": 0.1444, ""total_R"": 3.4651}}"
