level_id,level_index,level_session,created_at,expiry_at,sess_date,year,side,sign,level,touched_at,anchor,cutoff,entry_allowed,has_anchor,has_cutoff,pnl,exit,exit_time,tp_dist,sl_dist,variant,norm_level_id,physical_touch,identity
311:lower,311,2019-03-19,2019-03-19 10:30:00-04:00,2019-04-16 10:30:00-04:00,2019-03-25,2019,lower,1.0,7337.82254636648,2019-03-24 20:24:00-04:00,10.0,2019-03-25 15:00:00-04:00,True,True,True,-15.0,SL,2019-03-24 20:37:00-04:00,15.0,15.0,base_legacy_entrybar,311_lower,2019-03-25 00:24:00+00:00,311_lower|lower|2019-03-25 00:24:00+00:00
315:upper,315,2019-03-25,2019-03-25 10:30:00-04:00,2019-04-23 10:30:00-04:00,2019-03-26,2019,upper,-1.0,7433.512851730817,2019-03-26 09:57:00-04:00,16.0,2019-03-26 15:00:00-04:00,True,True,True,24.0,TP,2019-03-26 10:32:00-04:00,24.0,24.0,base_legacy_entrybar,315_upper,2019-03-26 13:57:00+00:00,315_upper|upper|2019-03-26 13:57:00+00:00
317:upper,317,2019-03-27,2019-03-27 10:30:00-04:00,2019-04-25 10:30:00-04:00,2019-04-01,2019,upper,-1.0,7455.804037375222,2019-03-31 19:05:00-04:00,26.0,2019-04-01 15:00:00-04:00,True,True,True,-0.0,BE,2019-03-31 19:53:00-04:00,39.0,39.0,base_legacy_entrybar,317_upper,2019-03-31 23:05:00+00:00,317_upper|upper|2019-03-31 23:05:00+00:00
321:upper,321,2019-04-02,2019-04-02 10:30:00-04:00,2019-05-01 10:30:00-04:00,2019-04-03,2019,upper,-1.0,7556.688231456711,2019-04-02 21:45:00-04:00,41.5,2019-04-03 15:00:00-04:00,True,True,True,-7.811768543288963,cutoff,2019-04-03 15:00:00-04:00,62.25,62.25,base_legacy_entrybar,321_upper,2019-04-03 01:45:00+00:00,321_upper|upper|2019-04-03 01:45:00+00:00
326:upper,326,2019-04-09,2019-04-09 10:30:00-04:00,2019-05-08 10:30:00-04:00,2019-04-11,2019,upper,-1.0,7658.04600710988,2019-04-10 19:42:00-04:00,6.75,2019-04-11 15:00:00-04:00,True,True,True,-0.0,BE,2019-04-10 21:31:00-04:00,10.125,10.125,base_legacy_entrybar,326_upper,2019-04-10 23:42:00+00:00,326_upper|upper|2019-04-10 23:42:00+00:00
329:lower,329,2019-04-12,2019-04-12 10:30:00-04:00,2019-05-13 10:30:00-04:00,2019-04-15,2019,lower,1.0,7599.453232509069,2019-04-15 10:43:00-04:00,19.5,2019-04-15 15:00:00-04:00,True,True,True,29.25,TP,2019-04-15 11:29:00-04:00,29.25,29.25,base_legacy_entrybar,329_lower,2019-04-15 14:43:00+00:00,329_lower|lower|2019-04-15 14:43:00+00:00
328:upper,328,2019-04-11,2019-04-11 10:30:00-04:00,2019-05-10 10:30:00-04:00,2019-04-17,2019,upper,-1.0,7699.333072790703,2019-04-16 21:59:00-04:00,16.25,2019-04-17 15:00:00-04:00,True,True,True,-0.0,BE,2019-04-17 05:35:00-04:00,24.375,24.375,base_legacy_entrybar,328_upper,2019-04-17 01:59:00+00:00,328_upper|upper|2019-04-17 01:59:00+00:00
330:upper,330,2019-04-15,2019-04-15 10:30:00-04:00,2019-05-14 10:30:00-04:00,2019-04-17,2019,upper,-1.0,7708.943373859822,2019-04-17 08:03:00-04:00,8.75,2019-04-17 15:00:00-04:00,True,True,True,-13.125,SL,2019-04-17 08:46:00-04:00,13.125,13.125,base_legacy_entrybar,330_upper,2019-04-17 12:03:00+00:00,330_upper|upper|2019-04-17 12:03:00+00:00
333:upper,333,2019-04-18,2019-04-18 10:30:00-04:00,2019-05-17 10:30:00-04:00,2019-04-23,2019,upper,-1.0,7772.171559230863,2019-04-23 09:44:00-04:00,9.5,2019-04-23 15:00:00-04:00,True,True,True,-14.25,SL,2019-04-23 10:03:00-04:00,14.25,14.25,base_legacy_entrybar,333_upper,2019-04-23 13:44:00+00:00,333_upper|upper|2019-04-23 13:44:00+00:00
336:lower,336,2019-04-24,2019-04-24 10:30:00-04:00,2019-05-22 10:30:00-04:00,2019-04-26,2019,lower,1.0,7773.931429214922,2019-04-26 09:43:00-04:00,38.5,2019-04-26 15:00:00-04:00,True,True,True,48.81857078507801,cutoff,2019-04-26 15:00:00-04:00,57.75,57.75,base_legacy_entrybar,336_lower,2019-04-26 13:43:00+00:00,336_lower|lower|2019-04-26 13:43:00+00:00
339:lower,339,2019-04-29,2019-04-29 10:30:00-04:00,2019-05-27 10:30:00-04:00,2019-04-30,2019,lower,1.0,7787.768622292595,2019-04-29 21:00:00-04:00,9.75,2019-04-30 15:00:00-04:00,True,True,True,14.625,TP,2019-04-30 03:01:00-04:00,14.625,14.625,base_legacy_entrybar,339_lower,2019-04-30 01:00:00+00:00,339_lower|lower|2019-04-30 01:00:00+00:00
328:lower,328,2019-04-11,2019-04-11 10:30:00-04:00,2019-05-10 10:30:00-04:00,2019-05-09,2019,lower,1.0,7578.916927209297,2019-05-09 02:52:00-04:00,22.75,2019-05-09 15:00:00-04:00,True,True,True,-34.125,SL,2019-05-09 09:04:00-04:00,34.125,34.125,base_legacy_entrybar,328_lower,2019-05-09 06:52:00+00:00,328_lower|lower|2019-05-09 06:52:00+00:00
347:upper,347,2019-05-09,2019-05-09 10:30:00-04:00,2019-06-06 10:30:00-04:00,2019-05-10,2019,upper,-1.0,7651.573096473161,2019-05-09 20:24:00-04:00,28.25,2019-05-10 15:00:00-04:00,True,True,True,42.375,TP,2019-05-09 20:28:00-04:00,42.375,42.375,base_legacy_entrybar,347_upper,2019-05-10 00:24:00+00:00,347_upper|upper|2019-05-10 00:24:00+00:00
347:lower,347,2019-05-09,2019-05-09 10:30:00-04:00,2019-06-06 10:30:00-04:00,2019-05-13,2019,lower,1.0,7422.426903526839,2019-05-13 08:14:00-04:00,35.25,2019-05-13 15:00:00-04:00,True,True,True,-52.875,SL,2019-05-13 10:01:00-04:00,52.875,52.875,base_legacy_entrybar,347_lower,2019-05-13 12:14:00+00:00,347_lower|lower|2019-05-13 12:14:00+00:00
350:upper,350,2019-05-14,2019-05-14 10:30:00-04:00,2019-06-11 10:30:00-04:00,2019-05-15,2019,upper,-1.0,7481.289402916763,2019-05-15 10:42:00-04:00,58.25,2019-05-15 15:00:00-04:00,True,True,True,-39.96059708323719,cutoff,2019-05-15 15:00:00-04:00,87.375,87.375,base_legacy_entrybar,350_upper,2019-05-15 14:42:00+00:00,350_upper|upper|2019-05-15 14:42:00+00:00
353:lower,353,2019-05-17,2019-05-17 10:30:00-04:00,2019-06-14 10:30:00-04:00,2019-05-20,2019,lower,1.0,7446.417643630048,2019-05-20 06:14:00-04:00,20.0,2019-05-20 15:00:00-04:00,True,True,True,-30.0,SL,2019-05-20 07:09:00-04:00,30.0,30.0,base_legacy_entrybar,353_lower,2019-05-20 10:14:00+00:00,353_lower|lower|2019-05-20 10:14:00+00:00
355:lower,355,2019-05-21,2019-05-21 10:30:00-04:00,2019-06-18 10:30:00-04:00,2019-05-23,2019,lower,1.0,7371.647120555797,2019-05-23 02:07:00-04:00,13.75,2019-05-23 15:00:00-04:00,True,True,True,-20.625,SL,2019-05-23 03:13:00-04:00,20.625,20.625,base_legacy_entrybar,355_lower,2019-05-23 06:07:00+00:00,355_lower|lower|2019-05-23 06:07:00+00:00
359:upper,359,2019-05-27,2019-05-27 10:30:00-04:00,2019-06-24 10:30:00-04:00,2019-05-28,2019,upper,-1.0,7364.662584484247,2019-05-28 09:39:00-04:00,23.5,2019-05-28 15:00:00-04:00,True,True,True,35.25,TP,2019-05-28 10:18:00-04:00,35.25,35.25,base_legacy_entrybar,359_upper,2019-05-28 13:39:00+00:00,359_upper|upper|2019-05-28 13:39:00+00:00
358:lower,358,2019-05-24,2019-05-24 10:30:00-04:00,2019-06-21 10:30:00-04:00,2019-05-29,2019,lower,1.0,7278.526693405793,2019-05-28 20:09:00-04:00,14.0,2019-05-29 15:00:00-04:00,True,True,True,-21.0,SL,2019-05-28 20:33:00-04:00,21.0,21.0,base_legacy_entrybar,358_lower,2019-05-29 00:09:00+00:00,358_lower|lower|2019-05-29 00:09:00+00:00
362:lower,362,2019-05-30,2019-05-30 10:30:00-04:00,2019-06-27 10:30:00-04:00,2019-05-31,2019,lower,1.0,7176.495656589786,2019-05-31 03:05:00-04:00,15.75,2019-05-31 15:00:00-04:00,True,True,True,-23.625,SL,2019-05-31 03:53:00-04:00,23.625,23.625,base_legacy_entrybar,362_lower,2019-05-31 07:05:00+00:00,362_lower|lower|2019-05-31 07:05:00+00:00
364:upper,364,2019-06-03,2019-06-03 10:30:00-04:00,2019-07-01 10:30:00-04:00,2019-06-05,2019,upper,-1.0,7224.946166549782,2019-06-05 05:27:00-04:00,13.25,2019-06-05 15:00:00-04:00,True,True,True,-19.875,SL,2019-06-05 06:14:00-04:00,19.875,19.875,base_legacy_entrybar,364_upper,2019-06-05 09:27:00+00:00,364_upper|upper|2019-06-05 09:27:00+00:00
367:upper,367,2019-06-06,2019-06-06 10:30:00-04:00,2019-07-04 10:30:00-04:00,2019-06-07,2019,upper,-1.0,7306.2149127648445,2019-06-07 04:08:00-04:00,15.25,2019-06-07 15:00:00-04:00,True,True,True,-22.875,SL,2019-06-07 08:50:00-04:00,22.875,22.875,base_legacy_entrybar,367_upper,2019-06-07 08:08:00+00:00,367_upper|upper|2019-06-07 08:08:00+00:00
354:upper,354,2019-05-20,2019-05-20 10:30:00-04:00,2019-06-17 10:30:00-04:00,2019-06-10,2019,upper,-1.0,7490.945550165439,2019-06-10 09:33:00-04:00,15.5,2019-06-10 15:00:00-04:00,True,True,True,-23.25,SL,2019-06-10 09:41:00-04:00,23.25,23.25,base_legacy_entrybar,354_upper,2019-06-10 13:33:00+00:00,354_upper|upper|2019-06-10 13:33:00+00:00
369:upper,369,2019-06-10,2019-06-10 10:30:00-04:00,2019-07-08 10:30:00-04:00,2019-06-11,2019,upper,-1.0,7584.364849485702,2019-06-11 08:35:00-04:00,10.75,2019-06-11 15:00:00-04:00,True,True,True,-16.125,SL,2019-06-11 09:32:00-04:00,16.125,16.125,base_legacy_entrybar,369_upper,2019-06-11 12:35:00+00:00,369_upper|upper|2019-06-11 12:35:00+00:00
371:upper,371,2019-06-12,2019-06-12 10:30:00-04:00,2019-07-10 10:30:00-04:00,2019-06-17,2019,upper,-1.0,7570.924729812347,2019-06-17 09:55:00-04:00,44.0,2019-06-17 15:00:00-04:00,True,True,True,12.424729812347325,cutoff,2019-06-17 15:00:00-04:00,66.0,66.0,base_legacy_entrybar,371_upper,2019-06-17 13:55:00+00:00,371_upper|upper|2019-06-17 13:55:00+00:00
372:upper,372,2019-06-13,2019-06-13 10:30:00-04:00,2019-07-11 10:30:00-04:00,2019-06-18,2019,upper,-1.0,7584.937138920871,2019-06-18 04:18:00-04:00,51.0,2019-06-18 15:00:00-04:00,True,True,True,-76.5,SL,2019-06-18 09:39:00-04:00,76.5,76.5,base_legacy_entrybar,372_upper,2019-06-18 08:18:00+00:00,372_upper|upper|2019-06-18 08:18:00+00:00
376:upper,376,2019-06-19,2019-06-19 10:30:00-04:00,2019-07-17 10:30:00-04:00,2019-06-20,2019,upper,-1.0,7748.238854969065,2019-06-19 21:09:00-04:00,15.0,2019-06-20 15:00:00-04:00,True,True,True,-0.0,BE,2019-06-19 21:55:00-04:00,22.5,22.5,base_legacy_entrybar,376_upper,2019-06-20 01:09:00+00:00,376_upper|upper|2019-06-20 01:09:00+00:00
375:upper,375,2019-06-18,2019-06-18 10:30:00-04:00,2019-07-16 10:30:00-04:00,2019-06-20,2019,upper,-1.0,7765.55530926014,2019-06-19 23:49:00-04:00,16.5,2019-06-20 15:00:00-04:00,True,True,True,24.75,TP,2019-06-20 00:56:00-04:00,24.75,24.75,base_legacy_entrybar,375_upper,2019-06-20 03:49:00+00:00,375_upper|upper|2019-06-20 03:49:00+00:00
379:lower,379,2019-06-24,2019-06-24 10:30:00-04:00,2019-07-22 10:30:00-04:00,2019-06-25,2019,lower,1.0,7702.584942229007,2019-06-25 10:22:00-04:00,43.25,2019-06-25 15:00:00-04:00,True,True,True,-64.875,SL,2019-06-25 13:01:00-04:00,64.875,64.875,base_legacy_entrybar,379_lower,2019-06-25 14:22:00+00:00,379_lower|lower|2019-06-25 14:22:00+00:00
379:upper,379,2019-06-24,2019-06-24 10:30:00-04:00,2019-07-22 10:30:00-04:00,2019-07-01,2019,upper,-1.0,7829.290057770993,2019-07-01 03:03:00-04:00,13.75,2019-07-01 15:00:00-04:00,True,True,True,-0.0,BE,2019-07-01 06:15:00-04:00,20.625,20.625,base_legacy_entrybar,379_upper,2019-07-01 07:03:00+00:00,379_upper|upper|2019-07-01 07:03:00+00:00
385:upper,385,2019-07-02,2019-07-02 10:30:00-04:00,2019-07-30 10:30:00-04:00,2019-07-03,2019,upper,-1.0,7845.729041524407,2019-07-03 03:15:00-04:00,7.25,2019-07-03 15:00:00-04:00,True,True,True,-10.875,SL,2019-07-03 03:34:00-04:00,10.875,10.875,base_legacy_entrybar,385_upper,2019-07-03 07:15:00+00:00,385_upper|upper|2019-07-03 07:15:00+00:00
387:lower,387,2019-07-04,2019-07-04 10:30:00-04:00,2019-08-01 10:30:00-04:00,2019-07-05,2019,lower,1.0,7857.780845939943,2019-07-05 08:30:00-04:00,10.75,2019-07-05 15:00:00-04:00,True,True,True,16.125,TP,2019-07-05 08:31:00-04:00,16.125,16.125,base_legacy_entrybar,387_lower,2019-07-05 12:30:00+00:00,387_lower|lower|2019-07-05 12:30:00+00:00
