level_id,session_date,created_at,expiry_at,physical_touch,side,eligibility,skip_reason,position_state,sal_state,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
430_upper,2019-09-03,2019-09-03 10:30:00-04:00,2019-10-01 10:30:00-04:00,2019-09-04 21:02:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
431_upper,2019-09-04,2019-09-04 10:30:00-04:00,2019-10-02 10:30:00-04:00,2019-09-04 21:29:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
427_upper,2019-08-29,2019-08-29 10:30:00-04:00,2019-09-26 10:30:00-04:00,2019-09-04 21:30:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
420_upper,2019-08-20,2019-08-20 10:30:00-04:00,2019-09-17 10:30:00-04:00,2019-09-04 21:31:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
413_upper,2019-08-09,2019-08-09 10:30:00-04:00,2019-09-06 10:30:00-04:00,2019-09-04 21:37:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
419_upper,2019-08-19,2019-08-19 10:30:00-04:00,2019-09-16 10:30:00-04:00,2019-09-04 21:51:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
421_upper,2019-08-21,2019-08-21 10:30:00-04:00,2019-09-18 10:30:00-04:00,2019-09-04 21:59:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
428_upper,2019-08-30,2019-08-30 10:30:00-04:00,2019-09-27 10:30:00-04:00,2019-09-04 22:00:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
422_upper,2019-08-22,2019-08-22 10:30:00-04:00,2019-09-19 10:30:00-04:00,2019-09-05 09:52:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
415_upper,2019-08-13,2019-08-13 10:30:00-04:00,2019-09-10 10:30:00-04:00,2019-09-05 10:00:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
434_lower,2019-09-09,2019-09-09 10:30:00-04:00,2019-10-07 10:30:00-04:00,2019-09-09 14:30:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
433_lower,2019-09-10,2019-09-06 10:30:00-04:00,2019-10-04 10:30:00-04:00,2019-09-10 03:41:00-04:00,lower,executed,,flat,inactive,2019-09-10 03:41:00-04:00,2019-09-10 06:27:00-04:00,7792.904046735641,7815.029046735641,14.75,22.125,TP,22.125
435_upper,2019-09-11,2019-09-10 10:30:00-04:00,2019-10-08 10:30:00-04:00,2019-09-11 10:33:00-04:00,upper,executed,,flat,inactive,2019-09-11 10:33:00-04:00,2019-09-11 11:30:00-04:00,7870.113220323607,7870.113220323607,42.0,63.0,BE,-0.0
436_upper,2019-09-12,2019-09-11 10:30:00-04:00,2019-10-09 10:30:00-04:00,2019-09-11 19:22:00-04:00,upper,executed,,flat,inactive,2019-09-11 19:22:00-04:00,2019-09-11 19:24:00-04:00,7921.3221564805135,7933.6971564805135,8.25,12.375,SL,-12.375
432_upper,2019-09-05,2019-09-05 10:30:00-04:00,2019-10-03 10:30:00-04:00,2019-09-11 19:25:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
433_upper,2019-09-06,2019-09-06 10:30:00-04:00,2019-10-04 10:30:00-04:00,2019-09-11 19:25:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
434_upper,2019-09-09,2019-09-09 10:30:00-04:00,2019-10-07 10:30:00-04:00,2019-09-11 19:25:00-04:00,upper,skipped,SAL,n/a,active,,,,,,,,
437_lower,2019-09-12,2019-09-12 10:30:00-04:00,2019-10-10 10:30:00-04:00,2019-09-15 18:00:00-04:00,lower,skipped,no_anchor,n/a,n/a,,,,,,,,
438_lower,2019-09-13,2019-09-13 10:30:00-04:00,2019-10-11 10:30:00-04:00,2019-09-15 18:00:00-04:00,lower,skipped,no_anchor,n/a,n/a,,,,,,,,
441_lower,2019-09-18,2019-09-18 10:30:00-04:00,2019-10-16 10:30:00-04:00,2019-09-18 14:02:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
440_upper,2019-09-17,2019-09-17 10:30:00-04:00,2019-10-15 10:30:00-04:00,2019-09-19 09:32:00-04:00,upper,skipped,simultaneous_collision,flat,inactive,,,,,,,,
439_upper,2019-09-19,2019-09-16 10:30:00-04:00,2019-10-14 10:30:00-04:00,2019-09-19 09:32:00-04:00,upper,executed,,flat,inactive,2019-09-19 09:32:00-04:00,2019-09-19 15:00:00-04:00,7939.129790605412,7930.75,39.25,58.875,cutoff,8.379790605412381
441_upper,2019-09-18,2019-09-18 10:30:00-04:00,2019-10-16 10:30:00-04:00,2019-09-19 09:36:00-04:00,upper,skipped,position_open,open,inactive,,,,,,,,
443_lower,2019-09-20,2019-09-20 10:30:00-04:00,2019-10-18 10:30:00-04:00,2019-09-20 12:36:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
442_lower,2019-09-19,2019-09-19 10:30:00-04:00,2019-10-17 10:30:00-04:00,2019-09-20 13:13:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
440_lower,2019-09-17,2019-09-17 10:30:00-04:00,2019-10-15 10:30:00-04:00,2019-09-20 13:17:00-04:00,lower,skipped,blocked_time,n/a,n/a,,,,,,,,
