level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason
663_upper,2020-08-05,2020,upper,2020-08-05 06:05:00+00:00,2020-08-05 05:45:00-04:00,11106.176913153136,30.75,33.0,-33.0,-1.0,SL
664_upper,2020-08-06,2020,upper,2020-08-06 17:21:00+00:00,2020-08-06 14:01:00-04:00,11176.195239923316,25.5,30.75,-30.75,-1.0,SL
668_lower,2020-08-07,2020,lower,2020-08-07 17:15:00+00:00,2020-08-07 15:59:00-04:00,11086.32665343461,64.0,60.75,41.9233465653906,0.6900962397595161,cutoff
666_lower,2020-08-10,2020,lower,2020-08-10 15:00:00+00:00,2020-08-10 11:28:00-04:00,10939.850027116816,71.25,67.5,71.25,1.0555555555555556,TP
669_lower,2020-08-11,2020,lower,2020-08-11 19:18:00+00:00,2020-08-11 15:50:00-04:00,10925.00011090932,64.5,58.75,-58.75,-1.0,SL
670_upper,2020-08-13,2020,upper,2020-08-13 13:31:00+00:00,2020-08-13 13:00:00-04:00,11198.889330594502,76.0,63.75,-63.75,-1.0,SL
669_upper,2020-08-18,2020,upper,2020-08-17 23:31:00+00:00,2020-08-18 08:30:00-04:00,11308.24988909068,37.0,37.5,-37.5,-1.0,SL
677_upper,2020-08-21,2020,upper,2020-08-21 00:00:00+00:00,2020-08-21 07:50:00-04:00,11503.059627482891,64.25,53.5,64.25,1.2009345794392523,TP
676_upper,2020-08-21,2020,upper,2020-08-21 14:55:00+00:00,2020-08-21 15:59:00-04:00,11549.90659303957,74.25,66.25,-4.593406960430002,-0.06933444468573588,cutoff
678_upper,2020-08-24,2020,upper,2020-08-24 08:00:00+00:00,2020-08-24 09:35:00-04:00,11657.182826359074,51.0,48.75,-48.75,-1.0,SL
680_upper,2020-08-26,2020,upper,2020-08-26 10:54:00+00:00,2020-08-26 10:33:00-04:00,11773.882955083516,44.0,42.5,-42.5,-1.0,SL
683_upper,2020-09-01,2020,upper,2020-09-01 06:16:00+00:00,2020-09-01 03:32:00-04:00,12175.52827197218,52.25,48.0,-48.0,-1.0,SL
685_upper,2020-09-02,2020,upper,2020-09-02 09:56:00+00:00,2020-09-02 09:31:00-04:00,12458.311956416415,64.5,55.5,64.5,1.162162162162162,TP
686_lower,2020-09-03,2020,lower,2020-09-03 14:19:00+00:00,2020-09-03 10:38:00-04:00,12087.299430239142,85.25,76.25,-76.25,-1.0,SL
681_lower,2020-09-04,2020,lower,2020-09-03 23:06:00+00:00,2020-09-04 10:17:00-04:00,11622.124257880094,283.5,178.75,-178.75,-1.0,SL
689_lower,2020-09-08,2020,lower,2020-09-08 10:25:00+00:00,2020-09-08 08:13:00-04:00,11253.833137562138,95.25,84.25,-84.25,-1.0,SL
692_lower,2020-09-10,2020,lower,2020-09-10 18:15:00+00:00,2020-09-10 14:28:00-04:00,11274.176955693692,133.25,100.25,-100.25,-1.0,SL
691_lower,2020-09-11,2020,lower,2020-09-11 17:08:00+00:00,2020-09-11 15:28:00-04:00,10986.003952631198,114.25,91.5,114.25,1.2486338797814207,TP
694_upper,2020-09-16,2020,upper,2020-09-16 08:08:00+00:00,2020-09-16 09:15:00-04:00,11506.810727848246,55.5,50.25,55.5,1.1044776119402986,TP
696_lower,2020-09-16,2020,lower,2020-09-16 19:40:00+00:00,2020-09-16 15:59:00-04:00,11236.387625902127,75.5,70.0,-1.3876259021271835,-0.01982322717324548,cutoff
694_lower,2020-09-17,2020,lower,2020-09-17 12:30:00+00:00,2020-09-17 09:13:00-04:00,10994.689272151754,109.25,87.0,-87.0,-1.0,SL
