sess_date,year,side,touched_at,exit_ts,level,anchor,stop_pts,pnl
2024-05-31,2024,lower,2024-05-31 10:34:00-04:00,2024-05-31 15:00:00-04:00,5227.070385058954,19.0,28.5,8.429614941045656
2024-06-03,2024,upper,2024-06-02 20:12:00-04:00,2024-06-03 15:00:00-04:00,5308.804614941046,8.25,12.375,12.375
2024-06-05,2024,upper,2024-06-04 22:11:00-04:00,2024-06-05 15:00:00-04:00,5313.995030869185,6.0,9.0,-9.0
2024-06-06,2024,upper,2024-06-05 19:03:00-04:00,2024-06-06 15:00:00-04:00,5371.221609789427,6.5,9.75,9.75
2024-06-07,2024,lower,2024-06-07 08:42:00-04:00,2024-06-07 15:00:00-04:00,5334.405264935098,9.75,14.625,14.625
2024-06-12,2024,upper,2024-06-12 07:11:00-04:00,2024-06-12 15:00:00-04:00,5392.2530653900185,4.0,6.0,-6.0
2024-06-20,2024,upper,2024-06-20 03:31:00-04:00,2024-06-20 15:00:00-04:00,5585.956443932103,3.5,5.25,5.25
2024-06-28,2024,upper,2024-06-27 22:00:00-04:00,2024-06-28 15:00:00-04:00,5561.9548225888675,10.0,15.0,-15.0
2024-07-01,2024,lower,2024-07-01 10:15:00-04:00,2024-07-01 15:00:00-04:00,5505.722323912537,18.25,27.375,27.375
2024-07-08,2024,upper,2024-07-08 08:38:00-04:00,2024-07-08 15:00:00-04:00,5626.281068127275,5.25,7.875,-7.875
2024-07-17,2024,lower,2024-07-17 07:33:00-04:00,2024-07-17 15:00:00-04:00,5658.007508020931,9.5,14.25,14.25
2024-07-17,2024,lower,2024-07-17 10:07:00-04:00,2024-07-17 15:00:00-04:00,5651.852621326983,20.0,30.0,-7.602621326983353
2024-07-24,2024,lower,2024-07-24 00:20:00-04:00,2024-07-24 15:00:00-04:00,5562.1358729145595,5.5,8.25,8.25
2024-07-24,2024,lower,2024-07-24 09:51:00-04:00,2024-07-24 15:00:00-04:00,5534.15828832639,15.5,23.25,-23.25
2024-07-31,2024,upper,2024-07-31 09:08:00-04:00,2024-07-31 15:00:00-04:00,5544.543260068582,19.25,28.875,-28.875
2024-08-01,2024,upper,2024-08-01 09:45:00-04:00,2024-08-01 15:00:00-04:00,5600.502089363822,18.5,27.75,27.75
2024-08-02,2024,lower,2024-08-02 03:05:00-04:00,2024-08-02 15:00:00-04:00,5419.831739931418,16.75,25.125,-25.125
2024-08-05,2024,lower,2024-08-04 21:03:00-04:00,2024-08-05 15:00:00-04:00,5297.334589811837,26.25,39.375,-39.375
2024-08-06,2024,upper,2024-08-06 10:49:00-04:00,2024-08-06 15:00:00-04:00,5307.243126359768,46.5,69.75,-10.506873640231788
2024-08-09,2024,upper,2024-08-09 04:39:00-04:00,2024-08-09 15:00:00-04:00,5370.455943153725,12.0,18.0,18.0
2024-08-12,2024,upper,2024-08-12 08:29:00-04:00,2024-08-12 15:00:00-04:00,5389.300038782391,9.25,13.875,13.875
2024-08-13,2024,upper,2024-08-13 09:33:00-04:00,2024-08-13 15:00:00-04:00,5412.518546576693,25.75,38.625,-38.625
2024-08-14,2024,upper,2024-08-14 08:30:00-04:00,2024-08-14 15:00:00-04:00,5466.64914604086,4.5,6.75,6.75
2024-08-15,2024,upper,2024-08-15 08:36:00-04:00,2024-08-15 15:00:00-04:00,5518.123770248366,19.5,29.25,-29.25
2024-08-16,2024,upper,2024-08-16 02:04:00-04:00,2024-08-16 15:00:00-04:00,5582.011845764725,7.5,11.25,11.25
2024-08-21,2024,upper,2024-08-21 10:41:00-04:00,2024-08-21 15:00:00-04:00,5650.028987118491,10.75,16.125,16.125
2024-09-03,2024,lower,2024-09-03 09:38:00-04:00,2024-09-03 15:00:00-04:00,5617.785556514825,9.0,13.5,-13.5
2024-09-06,2024,lower,2024-09-06 03:14:00-04:00,2024-09-06 15:00:00-04:00,5485.988154235275,11.5,17.25,-17.25
2024-09-11,2024,lower,2024-09-11 10:17:00-04:00,2024-09-11 15:00:00-04:00,5427.993281495758,49.25,73.875,73.875
2024-09-13,2024,upper,2024-09-13 09:47:00-04:00,2024-09-13 15:00:00-04:00,5621.503559818009,10.5,15.75,-15.75
2024-09-16,2024,upper,2024-09-15 20:00:00-04:00,2024-09-16 15:00:00-04:00,5681.587234301457,8.0,12.0,-12.0
2024-09-17,2024,upper,2024-09-17 03:13:00-04:00,2024-09-17 15:00:00-04:00,5703.504802073829,4.0,6.0,-6.0
2024-09-19,2024,upper,2024-09-19 04:40:00-04:00,2024-09-19 15:00:00-04:00,5755.803756867148,16.0,24.0,-24.0
