sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60,mae,mfe,uw60,be_dd
2021-01-08,2021,upper,2021-01-07 20:31:00-05:00,12972.891274962194,24.75,37.125,-0.0,BE,-5.359,26.641,False,False
2021-01-08,2021,upper,2021-01-08 09:28:00-05:00,13020.927210784295,35.25,52.875,52.875,TP,-33.573,57.927,,False
2021-01-15,2021,lower,2021-01-15 10:07:00-05:00,12829.992660451164,60.25,90.375,0.0,BE,-86.493,11.007,True,True
2021-01-20,2021,upper,2021-01-20 03:43:00-05:00,13081.986247428205,17.25,25.875,25.875,TP,-8.014,26.736,,False
2021-01-20,2021,upper,2021-01-20 03:44:00-05:00,13085.890264484906,17.25,25.875,25.875,TP,-4.11,25.89,,False
2021-01-20,2021,upper,2021-01-20 08:00:00-05:00,13108.910184604236,27.75,41.625,-0.0,BE,-15.59,5.41,True,True
2021-01-20,2021,upper,2021-01-20 09:12:00-05:00,13129.140117721747,19.0,28.5,-28.5,SL,-38.11,8.14,,False
2021-01-21,2021,upper,2021-01-20 20:05:00-05:00,13373.571867454353,45.25,67.875,-0.0,BE,-4.428,29.822,False,False
2021-01-25,2021,upper,2021-01-25 09:34:00-05:00,13527.942483189676,31.0,46.5,46.5,TP,-26.558,53.442,False,False
2021-01-25,2021,upper,2021-01-25 09:34:00-05:00,13530.829602947819,31.0,46.5,46.5,TP,-23.67,47.08,False,False
2021-01-27,2021,lower,2021-01-27 09:32:00-05:00,13281.87280141763,46.0,69.0,-69.0,SL,-77.873,22.627,,False
2021-02-02,2021,upper,2021-02-01 20:23:00-05:00,13321.262122402999,31.25,46.875,-0.0,BE,-28.238,10.762,True,True
2021-02-02,2021,upper,2021-02-02 04:52:00-05:00,13378.420181457432,62.0,93.0,-0.0,BE,-5.08,52.42,False,False
2021-02-05,2021,upper,2021-02-05 00:32:00-05:00,13605.373124295926,19.25,28.875,-0.0,BE,-13.377,9.123,True,True
2021-02-08,2021,upper,2021-02-07 20:23:00-05:00,13679.37719858237,39.0,58.5,-0.0,BE,-7.873,7.627,True,True
2021-02-08,2021,upper,2021-02-08 10:08:00-05:00,13688.795702475387,41.25,61.875,61.875,TP,-4.204,77.046,False,False
2021-02-10,2021,upper,2021-02-10 02:35:00-05:00,13758.10878065542,11.75,17.625,17.625,TP,-11.141,18.109,,False
2021-02-10,2021,upper,2021-02-10 02:35:00-05:00,13757.696659595818,11.75,17.625,17.625,TP,-11.553,17.697,,False
2021-02-15,2021,upper,2021-02-14 19:20:00-05:00,13852.90228910213,34.0,51.0,-0.0,BE,-13.848,3.902,True,True
2021-02-15,2021,upper,2021-02-14 20:02:00-05:00,13863.442729351453,40.25,60.375,-0.0,BE,-1.057,30.943,False,False
2021-02-16,2021,upper,2021-02-15 20:21:00-05:00,13888.65707742389,27.25,40.875,-0.0,BE,-11.843,2.907,True,True
2021-02-17,2021,lower,2021-02-16 19:04:00-05:00,13714.378111306329,40.75,61.125,0.0,BE,-20.378,13.622,True,True
2021-02-17,2021,lower,2021-02-17 08:52:00-05:00,13667.283785427255,25.25,37.875,-37.875,SL,-38.284,23.716,,False
2021-02-18,2021,lower,2021-02-18 09:04:00-05:00,13538.96792257611,51.5,77.25,0.0,BE,-21.968,44.532,False,False
2021-02-18,2021,lower,2021-02-18 10:07:00-05:00,13507.807270648547,61.0,91.5,0.0,BE,-39.807,63.943,False,False
2021-02-18,2021,lower,2021-02-18 10:18:00-05:00,13498.135433371881,61.0,91.5,0.0,BE,-30.135,73.615,False,False
2021-02-18,2021,lower,2021-02-18 10:23:00-05:00,13479.34771089787,61.0,91.5,91.5,TP,-11.348,92.402,,False
