sess_date,year,side,touched_at,level,anchor,cap,pnl_standard,exit_standard
2021-01-20,2021,upper,2021-01-20 03:44:00-05:00,13085.890264484906,17.25,25.875,25.875,TP
2021-01-20,2021,upper,2021-01-20 08:00:00-05:00,13108.910184604236,27.75,41.625,-41.625,SL
2021-01-21,2021,upper,2021-01-20 20:05:00-05:00,13373.571867454353,45.25,67.875,67.875,TP
2021-01-25,2021,upper,2021-01-25 09:34:00-05:00,13527.942483189676,31.0,46.5,46.5,TP
2021-01-25,2021,upper,2021-01-25 09:34:00-05:00,13530.829602947819,31.0,46.5,46.5,TP
2021-01-27,2021,lower,2021-01-27 09:32:00-05:00,13281.87280141763,46.0,69.0,-69.0,SL
2021-02-02,2021,upper,2021-02-01 20:23:00-05:00,13321.262122402999,31.25,46.875,-46.875,SL
2021-02-05,2021,upper,2021-02-05 00:32:00-05:00,13605.373124295926,19.25,28.875,28.875,TP
2021-02-08,2021,upper,2021-02-07 20:23:00-05:00,13679.37719858237,39.0,58.5,58.5,TP
2021-02-08,2021,upper,2021-02-08 10:08:00-05:00,13688.795702475387,41.25,61.875,61.875,TP
2021-02-10,2021,upper,2021-02-10 02:35:00-05:00,13758.10878065542,11.75,17.625,17.625,TP
2021-02-10,2021,upper,2021-02-10 02:35:00-05:00,13757.696659595818,11.75,17.625,17.625,TP
2021-02-15,2021,upper,2021-02-14 19:20:00-05:00,13852.90228910213,34.0,51.0,-19.097710897869547,cutoff
2021-02-16,2021,upper,2021-02-15 20:21:00-05:00,13888.65707742389,27.25,40.875,40.875,TP
2021-02-17,2021,lower,2021-02-16 19:04:00-05:00,13714.378111306329,40.75,61.125,61.125,TP
2021-02-17,2021,lower,2021-02-17 08:52:00-05:00,13667.283785427255,25.25,37.875,-37.875,SL
2021-02-18,2021,lower,2021-02-18 09:04:00-05:00,13538.96792257611,51.5,77.25,77.25,TP
2021-02-18,2021,lower,2021-02-18 10:07:00-05:00,13507.807270648547,61.0,91.5,91.5,TP
2021-02-18,2021,lower,2021-02-18 10:18:00-05:00,13498.135433371881,61.0,91.5,91.5,TP
2021-02-18,2021,lower,2021-02-18 10:23:00-05:00,13479.34771089787,61.0,91.5,91.5,TP
